GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",763383,796747,797549,793173,764457,767757,767564,788647,802223,840152,864983,878085,874881,875154,890884,894511
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",54777,54636,59020,59035,64145,66007,70926,70012,67566,66925,68521,69744,72813,75563,73242,70880
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",8038,7301,6413,5376,5436,4315,3906,3842,4232,6634,6695,7918,8119,9018,7581,8487
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",(D),(D),(D),1626,(D),1823,3500,4104,3445,2215,2471,2617,2951,3416,3593,3275
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(NA),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",2398,1820,1628,(D),1414,(D),(D),(D),1322,(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",6014,7044,8691,10396,11565,14081,15748,14328,11898,9182,9642,10390,11241,11688,11516,11776
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",3203,3038,2898,3139,3437,4023,4480,4985,4793,4798,4344,(D),6233,(D),7323,6724
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",22932,22517,25442,25370,27398,26985,30641,28641,28307,28945,29686,27276,27000,27134,25147,21476
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",(D),(D),2184,2749,3305,(D),(D),(D),(D),(D),(D),1041,(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",479,(D),627,(D),798,(D),(D),(D),653,755,(D),540,655,666,(D),(D)
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",(NA),(NA),(NA),(D),(D),(D),(D),(D),(D),(NA),(NA),(D),(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",356,(D),588,(D),566,(D),251,196,250,(D),516,575,771,1378,1921,2177
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",720,841,(D),814,927,1036,(D),1278,1496,1716,1714,1811,1715,1540,1516,1654
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",(D),3112,2894,2479,2950,(D),(D),(D),(D),(D),2629,2988,2958,(D),(D),(D)
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",(NA),(NA),(NA),(NA),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",2275,(D),(D),2885,3134,3243,(D),4138,(D),4517,5394,4916,5434,5749,6702,6940
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",1560,1900,2061,1778,1501,1736,2039,1833,1817,1743,1736,1628,1742,1729,1627,1443
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",689524,722214,718587,713366,678799,679092,671832,692118,707368,747939,770605,778455,772750,769705,786057,793675
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",(D),(D),3507,3445,2992,3318,3474,3245,2975,2662,(D),(D),1604,(D),(D),(D)
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",454,497,662,657,716,(D),971,778,911,880,910,(D),1119,1092,1254,(D)
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",(D),1448,(D),(D),(D),2652,2384,2741,3002,3026,3210,3444,3468,3605,3510,3741
 "02000","Alaska",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",531801,536247,521638,511653,473882,454865,423787,435424,466118,506327,533972,534116,522150,536368,540835,551596
