GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",6697226,6258234,6140759,5914946,5864693,6040144,6213044,6144799,5888636,6067036,6167035,6266384,6473672,6786263,7030055,7238974
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",782404,731658,741134,772171,830065,930005,1023432,1030858,904811,891494,923834,989162,1104932,1196091,1316082,1409782
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",65642,58396,49422,70278,66419,55925,54761,54311,54632,86589,86558,87049,87449,90224,90547,101164
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",21010,31763,34522,26234,32603,42592,42247,53433,40293,29083,33052,41176,76738,83820,91078,78352
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",14356,3688,3158,3184,2706,2768,2781,2735,1562,2056,2131,2170,2682,2333,2808,3154
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",37936,37159,40734,36383,34685,42362,43814,44970,41926,40515,40880,41197,42092,46834,54883,61440
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",39794,38394,41239,42082,46340,56184,66968,61301,70771,59167,60465,68495,73371,77971,77743,88281
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",76264,69031,68415,70900,80498,98477,117130,122842,122348,125966,135835,163893,188376,201088,214802,229469
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",224049,202418,195653,208216,234135,267069,305735,289212,228911,195175,190853,194293,210607,232550,277661,306085
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",67612,65675,65099,69458,77078,85288,86531,88817,69508,57332,52085,48468,56502,60963,67610,75570
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",26081,22843,25941,30918,39114,53626,64192,57253,36811,36687,39970,38453,44970,55048,60989,59712
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",5922,4783,15626,13405,6480,5991,7036,6921,5835,6695,10922,11267,11040,11538,10556,10836
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",56242,49908,50104,51693,57190,66368,70194,75219,59473,69374,71941,66473,69150,68786,82755,93917
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",32643,27910,25784,29022,31725,35530,41086,44049,42141,45548,51109,59412,63697,69399,76225,83890
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",70333,68904,64688,53287,48103,44723,47511,47560,48748,44811,51557,62380,67474,74185,83443,86694
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1124,3176,4253,4664,4415,4114,4553,4309,3515,5209,6972,9449,7789,9140,10146,10640
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",24932,23871,27000,31303,36376,35520,33099,43706,41334,49485,50709,50234,54349,60244,64628,67852
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",18465,23738,29496,31145,32199,33468,35794,34222,37004,37803,38795,44753,48645,51967,50206,52728
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",5748555,5361343,5235720,4972421,4856653,4923688,4987963,4904093,4778972,4988086,5053746,5056033,5153763,5362204,5466853,5579169
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",35470,30794,29576,29511,26444,28068,29980,26079,23834,20890,18557,20559,19052,21253,23968,25113
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",2210,3047,3698,3561,3631,4915,6332,5365,6474,6283,6767,6822,7885,7472,8441,9230
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",7540,6928,7195,8030,8652,12492,11522,13542,13972,13899,14573,16063,16904,17539,17699,20072
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",1846571,1950079,1858939,1792578,1676311,1533171,1383339,1473106,1526320,1586878,1613216,1600790,1628857,1690233,1738120,1795146
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",3129,1711,1951,2485,2829,3841,4423,4890,4079,4124,4377,5632,5256,5374,6566,5790
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",221,"...","  Publishing","Thousands of dollars",1109827,1007406,1054040,1040305,1045625,1060214,1144911,1121448,1049195,1003351,1047746,1066603,1091267,1081088,1112894,1144778
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",567836,146956,134646,108072,115014,123672,126488,114477,119564,117054,123725,133474,144522,144582,150000,155131
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",4288,(D),5959,8705,6520,9784,9900,11761,12835,11348,12513,(D),(D),(D),(D),(D)
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",1107994,1108808,1127120,1040904,1012272,1162823,1257890,1140741,1117761,1240330,1254246,1244402,1250373,1380355,1291941,1285668
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",225,"...","  Other information services","Thousands of dollars",129649,86138,100301,114146,138284,152643,102459,86328,97694,104329,(D),139020,125813,142977,149296,142680
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",(D),5674,5801,6283,5873,5413,5828,6161,6926,7005,7138,8111,6705,8569,9024,11478
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",98169,82265,77416,79259,81382,82079,84921,84478,67692,61444,61374,60456,59512,62163,62245,64836
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",4464,4554,3948,4148,3599,2924,1924,1080,1268,1556,1474,1447,1607,2165,2297,2132
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",12495,16540,15571,15680,16289,17893,28306,29135,20194,17954,18287,19494,21275,25143,30681,31357
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",(D),(D),(D),(D),9032,6195,6756,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",7145,6491,(D),(D),7056,7918,8691,(D),(D),(D),9567,9395,11029,11512,12657,11672
 "08000","Colorado",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",240,"...","  Construction","Thousands of dollars",227131,312315,238040,130493,113114,124252,137201,124743,128780,210290,142803,98395,99628,110750,162374,174355
