GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",5593065,5563438,5837276,5935472,6128664,6196493,6040621,6058311,6124045,6211232,6416080,6578678,6710709,6860663,7037233,7362861
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",688393,704806,779180,840940,916150,995617,1052401,1114769,1094739,1045456,1119382,1218068,1256799,1302413,1325047,1449647
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",50189,48454,42705,55979,56228,52436,44701,43444,44737,75736,77398,68045,56478,60937,61868,68752
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",11115,29118,26800,20915,24675,28181,27056,30521,24794,19294,20708,24648,32803,36309,37583,139228
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",3238,2925,(D),3012,2565,3103,3256,3477,2987,3281,(D),(D),(D),(D),4725,5922
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",14768,14634,13126,10796,11944,11494,11426,16290,17112,16657,17099,17972,16251,17038,17117,19187
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",15898,17630,23150,24385,26581,27805,32328,44521,47004,36095,34499,37577,35867,35654,33058,36279
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",(D),(D),178459,(D),(D),(D),307054,328179,327793,355488,392903,(D),(D),488663,500147,(D)
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",198504,203558,227132,234091,254150,268290,314021,336267,342290,245463,275141,268436,271746,285811,308305,317205
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",10910,13422,9472,9957,11634,17377,13101,12687,10957,10620,12109,14248,17991,21011,18788,18312
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",14181,12084,13519,15028,19556,24855,29720,28326,22000,24941,24527,22844,24485,27996,29982,29590
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",(D),(D),889,1037,901,930,746,(D),(D),(D),(D),(D),(D),(D),(D),647
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",39702,30957,24142,23707,27543,27963,26779,26341,21203,28180,32192,30063,36526,34766,37119,38279
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",4374,6051,7765,10945,12741,15212,14964,17253,16790,18058,20393,23625,24201,29806,33628,32882
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",(D),(D),(D),(D),(D),(D),5546,6584,(D),(D),2237,(D),3895,(D),3444,(D)
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",(D),(D),811,816,205,242,165,(D),(D),(D),(D),(D),(D),(D),(D),2071
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",39984,29342,33392,40468,45106,43784,43281,52574,48265,55602,56344,47130,49442,42557,31446,31337
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",140151,136380,161114,165284,178860,194158,178258,167603,163467,153149,148794,187437,214693,213056,206317,200800
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",4855090,4807196,5006203,5039747,5155495,5140843,4922480,4875249,4961305,5101860,5232026,5287543,5383059,5484469,5632048,5831310
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",(D),2724,4945,1931,1478,1761,2060,1765,(D),1897,2403,(D),2719,940,1055,6511
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",5742,7590,7360,7841,8253,10637,13620,12107,14972,16934,18811,19068,23122,24673,28827,32876
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",67026,59941,62794,70374,74640,105026,98399,116271,120154,119110,134179,142685,147387,154872,154776,170579
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",3634362,3680397,3777900,3757317,3827859,3750856,3624633,3627105,3777080,3940137,4004932,3985934,4094814,4179769,4291779,4460101
 "11000","District of Columbia",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",304,290,426,506,458,667,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
