GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "10000","Delaware",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",520406,542072,528510,549213,521811,542194,558363,527432,503107,483527,496441,473033,479461,489612,491171,492340
 "10000","Delaware",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",89007,86979,85480,93404,102544,106612,106524,103666,102534,93905,106503,103706,103219,106142,102682,104779
 "10000","Delaware",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",9127,9018,6618,10214,10179,8627,5344,6058,5794,11676,29343,21201,15604,15326,12058,12367
 "10000","Delaware",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",(D),(D),422,(D),(D),(D),(D),(D),6808,3072,1819,(D),2090,1341,1259,1723
 "10000","Delaware",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",(D),(D),(NA),(NA),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),49,124
 "10000","Delaware",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",4519,5122,4017,(D),4194,3993,3538,3876,(D),(D),(D),2431,(D),(D),2759,2931
 "10000","Delaware",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",18358,19970,20185,22328,22961,24894,23552,20164,25585,19405,18597,20338,22103,23760,21824,21745
 "10000","Delaware",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",7151,7256,8012,8123,9068,9992,13864,14709,13154,11909,11775,14146,14898,15722,16472,16911
 "10000","Delaware",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",16969,16394,17398,20003,21853,22338,19777,18892,16209,13451,(D),8998,10070,9574,9723,(D)
 "10000","Delaware",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",3607,3919,3599,5070,6621,8176,8994,8373,5795,5926,5437,5870,6100,5372,5397,6084
