GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "12000","Florida",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",12699194,12963068,13220796,13629285,13789282,14032451,14179525,13832030,12834126,12875946,13094710,13217247,13374584,14024120,14852424,15640692
 "12000","Florida",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",2081250,2008978,2141896,2320104,2517447,2826435,2991781,2844548,2397108,2473006,2545591,2649885,2842760,3122467,3419999,3603530
 "12000","Florida",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",322857,220999,230352,323001,268562,274570,236102,261473,254686,428148,420622,390033,422742,448849,489326,539417
 "12000","Florida",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",108071,156559,157356,125241,139651,163612,169783,204326,154279,121905,126568,138253,141468,162282,193300,162122
 "12000","Florida",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",28644,14599,16723,25293,35754,32297,33053,40275,38473,29927,35657,49816,37739,50737,48278,51307
 "12000","Florida",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",73966,90475,83156,103883,125849,135784,212102,160397,140586,154989,131020,149504,150250,170386,202668,250070
 "12000","Florida",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",97044,98839,121544,121203,136825,156152,173810,157073,170811,137730,136804,161269,176856,182042,183554,207535
 "12000","Florida",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",259478,227774,245815,278375,290704,336551,380813,367296,327840,321135,340410,414344,459952,499699,513813,531271
 "12000","Florida",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",446182,432527,472584,491176,579152,652176,674935,616133,439704,383219,389095,373837,399316,450543,538575,569632
 "12000","Florida",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",147438,149158,162717,188736,198996,238040,256629,211533,167856,153061,163142,149242,156066,181426,203984,223549
 "12000","Florida",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",101533,96207,118319,128121,159897,196390,215534,189986,122671,129543,133152,124595,139351,165862,195415,192525
