GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",7696181,7652488,7543931,7670722,7704195,7875228,8216089,8112832,7757593,7747991,8066679,8346464,8418605,8771918,9408486,10175446
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",1177461,1155160,1161267,1183601,1317119,1497448,1632343,1628776,1414208,1352925,1470787,1570827,1605417,1715665,1880583,2018945
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",157599,101976,53940,62345,62800,55163,47647,47578,50471,87559,106005,97233,95150,96788,100352,114602
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",100791,173910,132408,125952,164781,222272,228616,269373,208906,149584,135646,133358,125556,107431,123734,130300
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",3196,2987,3607,4716,4288,4547,5313,5609,5259,10206,12651,14523,17122,19748,11180,12163
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",25537,28043,36991,41087,50127,48931,53817,52664,48384,44176,46494,45370,53487,67398,80885,84822
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",31921,33623,41152,45167,50836,64316,77095,68898,72176,58815,59232,62607,65706,70261,68137,78204
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",155438,148172,168121,178367,204662,246089,282959,282067,291998,290592,340789,436447,421031,448672,480211,507881
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",297170,277367,285952,271645,294736,338123,395300,381426,280446,244620,265039,252738,273398,306142,360671,383686
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",50279,41382,48714,47338,54839,65518,66708,57133,34264,31268,33919,36412,45900,55982,64820,76723
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",35346,30677,34285,38007,49725,60156,70878,67307,47771,52002,60122,57650,64108,76285,85923,91521
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",6651,5871,5128,2618,2391,2462,2613,2625,2326,2384,3479,3358,4114,4832,4042,4325
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",90482,83621,90246,94859,104946,110888,113968,120775,97993,118121,132681,127458,139067,147791,166339,174624
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",40469,35709,36159,38602,41526,44828,49974,51661,54212,58522,64982,75404,74553,79917,87773,90787
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",118112,121070,119813,111060,112116,114838,107826,101830,97080,86151,90179,112298,116405,122751,127645,124500
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",7219,5351,22662,23929,23874,18921,20593,2987,2259,3444,4263,4673,3717,3888,4263,4844
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",22974,21214,26566,31252,31542,32286,32030,40985,37724,42974,43845,40091,39441,41033,45291,47506
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",34279,44186,55522,66657,63931,68110,77007,75859,82939,72507,71461,71208,66661,66746,69315,92458
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",6231075,6204845,6092844,6186094,6073946,6053727,6238925,6138148,6010621,6091720,6289964,6425454,6467113,6693577,7134701,7749086
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",53643,47793,60959,66204,60593,60614,60572,52723,41684,37291,33993,35326,34314,36424,38070,43422
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",2524,2919,3941,3358,3311,4253,4397,3276,3580,2997,3050,2925,3245,4332,4793,5432
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",9021,8132,7155,7494,8154,11412,10145,11282,11846,11679,12552,14485,14477,15275,15563,17004
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",2174250,2313403,2209275,2165392,1976044,1813824,1661367,1774683,1765667,1751219,1763337,1726511,1705839,1742383,(D),1864209
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",2062,1823,1970,1512,1905,2190,2546,2724,2644,4997,6116,5816,5617,4907,3492,2695
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",221,"...","  Publishing","Thousands of dollars",981818,908972,1047600,940887,992565,1024526,1207090,1137181,1079484,1105383,1115625,1235110,1281682,1347159,1353919,1381303
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",206319,207071,204244,191657,201043,220690,232831,235921,295988,271400,296949,342988,413928,324912,563975,921588
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",16504,14096,14311,20521,17449,22404,28234,32788,40931,26250,28276,31012,35685,41442,43101,(D)
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",1311531,1279865,1224563,1362299,1389071,1448777,1560348,1505030,1540224,1566234,1755428,1839463,1792102,1886060,1911173,2030808
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",225,"...","  Other information services","Thousands of dollars",138390,92473,71305,86102,118426,133247,79275,79680,103463,115620,114338,128380,125286,156152,160871,176527
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",4124,3358,3862,4130,3228,3575,4321,5238,6981,(D),5384,5237,2323,2484,2756,1591
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",221445,191070,189232,198971,202245,208807,219337,210808,178548,159016,173142,163649,149360,157861,147044,144038
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",(D),(D),10403,10216,8885,9053,6546,1515,1288,1247,1538,(D),2134,2073,2720,2983
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),26746,24327,23396,25185,26828,30083,32559
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",(D),1497,(D),(D),1738,(D),(D),(D),(D),(D),(D),(D),126,356,115,138
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",(D),(D),28294,(D),(D),(D),25671,(D),(D),42828,(D),(D),(D),(D),(D),(D)
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",240,"...","  Construction","Thousands of dollars",234150,234521,185967,248159,231849,207842,230484,199708,159570,250515,161319,89543,(D),(D),247667,156229
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",282249,302112,280666,304886,295045,295782,316503,302637,242129,255438,266990,278198,284273,270784,292813,336029
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",535069,529968,524567,526779,519315,536441,550598,515616,483824,454213,478933,464817,464340,463242,490158,511865
 "13000","Georgia",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",287644,292482,289820,301027,313130,324053,344821,345908,332765,303345,305928,350182,346075,362676,393202,407415
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
