GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "19000","Iowa",4,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",1994149,2053552,2034281,2025916,1970575,1985082,1964689,2006141,1981743,2002564,2023825,1999367,1990594,2051526,2105350,2199819
 "19000","Iowa",4,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",212435,219592,222874,232097,238282,249792,267079,275226,271627,276674,298100,304388,307607,328865,342690,360550
 "19000","Iowa",4,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",(D),10525,9840,16500,15433,13012,11975,(D),(D),(D),(D),(D),(D),(D),22325,27156
 "19000","Iowa",4,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",6083,8829,7530,6433,5710,11596,13211,15973,14940,10415,13714,14557,15391,16719,17475,17278
 "19000","Iowa",4,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",435,662,615,509,170,143,132,127,155,235,408,93,391,145,149,144
 "19000","Iowa",4,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",5529,5272,4089,3380,5666,5989,5732,8398,6358,5697,6032,6335,5486,5386,5275,6377
 "19000","Iowa",4,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",10022,10898,12862,13523,15150,17534,19162,18577,21042,16560,16692,19271,21228,21759,20519,23121
 "19000","Iowa",4,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",29514,29336,31882,35121,38230,43002,50698,49898,47438,49781,54619,60735,61777,(D),69307,70397
 "19000","Iowa",4,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",43938,46240,47993,51538,56159,51812,58570,59877,57352,58635,63525,55500,56170,61170,68485,68451
 "19000","Iowa",4,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",12186,10592,8679,6435,6933,8216,(D),5681,7819,7143,6441,6510,6384,7362,7519,9316
