GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",4162905,4191107,4238958,4388631,4316249,4279444,4261114,4208015,4016963,4157425,4186498,4289941,4325576,4423842,4590789,4615838
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",510214,509949,524611,527133,552040,569463,586743,590420,549303,562485,579556,(D),(D),(D),(D),(D)
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",53850,53993,50106,54802,51295,45008,39734,41100,43663,70731,71845,69822,64638,71132,63481,71313
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",19943,26400,23479,23234,25657,29594,28758,31646,21465,14128,14353,17146,19360,20675,24233,24878
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",1613,1736,2492,3504,4243,3461,4429,4816,3911,4319,4461,3253,3128,1933,1805,2563
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",13583,12356,14463,12672,13587,13476,14306,13796,14585,11125,12196,12472,13309,13730,15523,16924
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",33668,34561,40968,41997,45407,50497,55646,51224,57340,45417,44553,49111,51110,54080,52232,57690
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",44049,44629,47241,50446,54957,62529,70876,66474,63063,61215,65482,76385,79568,86479,93845,99495
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",120281,112126,119069,114196,122975,124349,134442,133946,113086,110229,115566,107975,95600,101240,116262,128090
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",8071,7254,7880,8082,9526,11006,11532,12058,12869,15663,16341,11383,10411,11148,12621,13704
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",9449,8783,11198,12582,14353,17469,18563,16696,12163,12679,13609,13056,13664,14393,15511,13816
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",6520,5959,5269,5913,6143,7087,7662,7197,6813,8707,10313,7313,7583,7132,6457,6215
 "18000","Indiana",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",30725,33971,35877,35770,40027,40544,38905,39162,30268,36123,36699,34137,35583,41099,44839,46798
