GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",2355087,2400225,2473334,2506533,2486465,2528704,2593599,2575916,2547233,2538216,2485754,2532041,2531224,2554696,2607959,2689456
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",229940,229617,244960,239547,248860,265511,285848,299633,283024,290768,299489,311297,319595,(D),345556,363528
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",20477,17522,16605,21189,21025,19993,17337,18990,18290,30578,28826,(D),(D),30955,(D),(D)
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",7121,11444,12452,10495,10898,16335,22734,27413,22270,17827,17399,19072,21291,21256,20721,19612
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",1627,991,922,873,699,611,959,1094,844,1195,1613,908,965,1397,1192,1160
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",4742,7541,8260,6523,3986,4951,4831,5667,7031,6669,7769,6244,6666,6829,8147,9379
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",15342,15733,18224,20061,20685,21948,25619,22940,26595,22690,(D),32293,34620,36539,37525,46319
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",32461,32564,33897,33678,35664,39623,45399,46195,47557,46307,46738,52596,56905,58637,61755,64592
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",57804,49956,52677,50186,51761,56209,62615,64799,56542,55278,55819,49387,50320,51211,61351,59022
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",6928,7207,7921,6942,6443,7483,5717,7359,7138,7728,7181,6388,6598,6258,6821,7773
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",3751,2924,3300,3698,4519,6208,6754,6616,5797,6410,6598,6016,5993,6846,7432,7387
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",4331,3620,2353,2603,7406,6955,5583,4940,3689,4023,5482,5285,5315,6858,4180,3523
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",20218,21638,22655,20689,23058,22283,21650,22990,19530,23656,26772,25919,26738,32758,29992,31258
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",4261,4242,4623,5421,6002,6472,8319,8715,8781,9370,10217,11600,12329,12724,13687,13814
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",26320,28025,30267,26601,26465,24902,24376,24214,23774,22033,(D),(D),(D),(D),(D),(D)
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1029,891,833,1076,770,831,993,794,318,142,183,139,142,217,241,254
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",8501,7903,8840,10327,10854,11284,10891,14183,12866,14157,14837,14300,14469,11980,11963,12740
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",15025,17416,21129,19186,18625,19423,22069,22724,22003,22707,25206,27353,25875,24710,24707,24915
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",2007907,2049193,2106491,2140826,2108021,2130845,2167834,2133912,2125485,2119326,2056923,2072469,2070000,2074694,2104064,2163875
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",16812,16814,17251,18257,16930,16366,17127,13939,12915,10013,8448,8319,7399,7502,7712,(D)
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",666,679,814,813,826,1089,1456,1236,1388,1238,1207,1157,1189,1326,1542,1941
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",3742,3236,3266,3555,3745,5355,5307,6015,6222,5940,6193,6812,7012,7216,7315,8221
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",1008396,1052822,1067424,1047646,1010875,998070,1001882,989401,1006956,1032211,994464,1022965,1047619,1052720,1065085,1090623
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",1026,712,746,829,865,892,882,1557,1021,991,1041,1141,1196,1200,1130,(D)
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",221,"...","  Publishing","Thousands of dollars",134741,134752,133375,138660,141048,141250,148044,143165,129865,118549,126738,123494,123978,119692,116049,112407
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",33317,36654,35649,38380,33961,31922,33044,34041,39615,36277,35573,36513,36122,39162,41823,47549
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",1310,1397,1463,1949,2077,3203,3819,3761,4986,4803,(D),(D),7014,9025,11315,12750
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",192229,209947,217659,243047,246640,259283,277207,274253,275508,275302,287719,297871,272400,284058,273389,276537
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",225,"...","  Other information services","Thousands of dollars",(D),3795,4571,7728,9890,21193,12407,12178,12453,13238,14137,14469,11826,13067,16307,16450
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",1942,2066,2671,3055,3544,3178,2106,1856,1535,2742,6238,7036,5911,7672,6830,7059
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),162847,137469,130930,117450,111423,109055,108711,106050,107005
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",(D),(D),1837,1767,1499,1458,1364,1491,1372,1492,1064,543,469,465,458,589
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),11924,10613,7962,7781,10400,(D)
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",275,380,410,491,526,485,537,550,424,510,851,29,(D),(D),(D),(D)
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",57477,56419,60770,64133,56663,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",240,"...","  Construction","Thousands of dollars",79504,105014,96158,93153,91270,92191,72601,75612,111199,100013,52679,51208,56629,58412,68301,59046
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",72479,72172,108729,113048,117436,121667,138415,128641,108186,115995,122407,130470,132881,128176,137534,143552
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",(D),(D),196771,(D),(D),206334,211176,209537,213638,(D),224982,208469,203247,191553,193228,216825
 "21000","Kentucky",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",117240,121415,121883,126160,129583,132347,139917,142371,138724,128122,129343,148275,141629,(D),158338,162054
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
