GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",2087159,2154575,2176510,2280369,2181158,2213369,2411246,2469374,2458954,2645860,2614553,2698235,2755822,2839356,2995841,2833989
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",247924,249484,276039,306122,288579,294184,330505,350518,353201,371986,(D),377549,407435,440757,448245,439228
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",22289,19304,13975,18630,14354,13724,12490,(D),14510,20489,23044,(D),20737,24489,23390,23952
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",7075,11866,15006,22753,20567,22326,29601,36989,29928,24030,20840,27087,29717,33381,33020,32916
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",964,1333,1448,938,862,1177,1319,1256,1077,1028,1373,781,742,853,968,654
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",7846,5945,6224,5768,8488,4658,4915,3393,6669,29958,29147,14628,20885,30034,26531,23980
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",24787,25532,29830,33679,32330,29504,38111,38919,46140,39524,41562,45631,51223,53430,(D),(D)
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",25407,26187,28802,32431,32495,36175,42757,39953,38474,38525,42363,54340,61313,61364,72180,66998
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",58866,57072,70137,79299,79733,93724,107440,117597,103201,100236,101509,86439,89243,94857,99335,93461
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",25368,29252,36427,37665,31233,24008,18555,18676,28020,27029,24367,25844,25044,24339,25697,27115
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",1984,1849,2189,2853,3400,4190,5391,5950,4858,6064,6649,11759,15217,14870,12716,9022
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",1126,846,750,619,1070,932,873,940,694,512,604,532,393,540,491,842
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",12543,9170,8276,8094,7756,7742,8951,9804,9481,10538,12000,10316,11079,10576,11756,12193
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",3133,3240,3563,4595,5636,6389,7405,6636,6665,7061,7570,8720,8493,8962,10050,11351
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",31393,31597,31834,29435,24935,23814,25652,(D),28500,25913,(D),(D),28081,30765,(D),(D)
 "22000","Louisiana",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",4454,4153,4467,4604,4098,4162,1693,1801,1990,2386,2034,1965,2902,4780,4915,3794
