GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",8938497,8167761,8149085,8448714,8662046,9182259,9717375,9905824,9295263,9675354,9995589,10306832,10299267,10754525,11375553,11858758
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",1762139,1656001,1653578,1740296,1816527,2032493,2229698,2254260,2074996,2108066,2278654,2350166,2442632,2586905,2705584,2869180
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",157853,118981,115181,147147,142763,164010,138223,128793,124133,220595,206338,207165,203459,243872,219595,253805
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",32301,58234,57973,51637,55573,67309,89733,97084,69918,54521,55357,65412,73835,79816,86089,90443
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",2323,2522,2781,3459,4707,3835,6471,8304,6141,5638,6933,6366,8603,9010,9384,11212
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",39070,32023,33532,32364,31896,32155,32126,53386,41822,39671,71914,54711,48261,72235,80247,73192
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",114961,117444,134080,133243,138823,154715,172445,157700,170958,138708,137844,154023,175360,181410,170740,186736
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",215735,181130,196038,215251,238411,274120,318906,302740,262577,225848,261619,326491,348299,368546,380333,389017
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",548756,504628,475954,438552,460636,496172,578557,597829,525742,500931,544412,507958,535813,559904,614791,616835
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",35941,35527,36869,44352,48572,55666,62997,66519,68499,70320,78076,77025,75266,91674,92148,99732
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",21376,19288,18994,21765,25720,49881,61271,59291,38258,33810,38012,38164,40916,43987,46578,47421
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",16168,17059,20204,21111,24324,26477,25994,25658,19524,24272,28963,26360,24881,23481,22031,19667
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",131917,98237,94896,98207,108756,109478,110538,115783,82115,97188,100854,92247,89628,97381,100193,105659
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",44985,37323,39560,45570,51636,67233,80968,88091,91198,101048,115518,138846,149099,154596,176311,186487
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",99376,99424,91898,77273,71475,65764,68308,66641,60640,56276,60881,80816,89637,96214,98126,96420
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",5777,5211,5559,5163,4076,4059,4834,4561,3134,5653,7083,8087,8965,16747,20530,21642
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",75966,74508,84189,97479,97597,94460,92528,125590,120203,131377,138485,130064,131757,142259,155296,167521
 "25000","Massachusetts",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",219635,254463,245870,307723,311559,367158,385797,356290,390134,402208,426366,436432,438854,405772,433193,503392
