GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",4832441,4936327,5081264,5241853,5225956,5184528,5310510,5296181,5119398,5241380,5350097,5395817,5392138,5692696,5887111,5857981
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",795804,796978,842427,858157,909418,938646,968347,1001559,928451,974260,1039054,1103334,1104451,(D),(D),1207571
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",49417,45650,41430,56699,58107,56262,50382,54744,53782,100841,89903,102616,94477,110175,114876,120052
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",27759,36801,39559,34849,34415,33449,33593,40593,29948,25349,31607,36657,36112,33212,41166,40727
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",3528,3254,3046,3707,3651,4400,4351,5268,6154,3841,6393,11274,10087,4224,4220,4051
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",23999,26725,28056,24853,21810,23102,21388,20492,21707,23786,31095,33016,30785,33105,39049,40373
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",35853,37388,39781,41432,46107,50875,49898,43463,48574,36709,36568,40883,44629,43921,43027,48423
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",89543,84491,90033,88683,90963,99129,110101,105335,104060,102327,110031,127303,116162,119081,119921,119022
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",192053,192195,202716,208538,228856,251148,272234,285663,251121,222390,233112,216405,225685,251674,271895,273092
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",43451,37303,35647,36294,37662,43423,40875,39925,36100,57946,50321,53818,41091,42144,53128,51772
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",19218,19190,20966,23127,29923,34412,36586,33735,27050,30602,37423,38227,49319,43088,40712,44091
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",19069,16101,13480,10580,8206,8228,8403,5896,4667,5331,6589,6257,6829,7396,8541,9154
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",71143,56511,63332,64749,74141,79228,79895,84906,66360,82326,86719,84255,89735,100124,86565,86557
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",41960,44399,45993,50933,53541,57477,63885,68349,67367,73679,80017,89336,85875,91298,92961,95515
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",109328,105850,109789,95216,87026,79549,81449,86339,82907,82899,94771,118651,133376,(D),(D),109517
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",6650,5810,4644,8269,9950,10358,7486,5663,5589,5448,6326,5209,3246,3889,5554,4823
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",26357,26735,29698,36596,39874,40124,41064,54742,52746,58059,61085,54991,55584,60144,67111,78977
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",36475,58574,74257,73630,85184,67483,66757,66448,70319,62727,77093,84435,81458,93333,74545,81426
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",3861781,3957356,4054709,4191281,4115591,4039326,4122924,4069785,3965254,4059358,4102970,4055373,4061827,4269565,4407694,4397695
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",29282,26546,29014,32287,27950,27882,28535,22878,19801,15362,13895,15622,17346,17428,19022,32665
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",4054,4840,6502,5942,6082,7884,10193,8722,9991,9118,9468,9476,10626,11622,12454,14667
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",17921,16680,17772,19447,21012,30245,27089,34961,38182,37884,41059,47077,50579,53395,52859,59758
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",1596673,1678124,1664160,1648011,1585403,1485459,1440782,1505015,1566451,1566232,1648870,1634757,1693305,1750234,1767792,1785942
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",2036,1599,1629,2006,1911,2121,4765,4507,4360,4404,5775,5882,6818,6917,7806,7488
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",221,"...","  Publishing","Thousands of dollars",371610,372085,377999,400498,393684,407110,446422,425004,398684,359853,406004,425704,436633,455902,470229,543480
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",90919,94966,107258,124545,136931,130697,140307,135285,130519,142070,149932,152233,146318,132373,144580,147663
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",6702,8501,9344,13014,10952,15409,23282,24937,21347,17482,18754,23762,21426,27579,41886,38003
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",555610,529145,584224,628201,661363,676707,752929,749862,752922,775588,737541,705560,690678,699305,670361,647535
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",225,"...","  Other information services","Thousands of dollars",106674,65156,87430,85825,102660,114650,58000,60925,61280,59513,62078,98467,80305,80656,83955,79275
 "24000","Maryland",2,"SAACArtsComp: ACPSA compensation by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",(D),(D),3132,(D),(D),5757,5122,4833,5658,4992,4770,4780,4061,5281,5371,9202
