GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",774728,778061,808873,824554,804341,784455,796552,807485,782411,770741,806191,777455,759947,764267,805856,830040
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",113356,114936,114360,119281,123669,131999,135988,142625,140103,(D),(D),143965,150248,157797,167320,179031
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",10543,10478,7835,10123,9404,9004,7825,8804,14168,22762,20208,15323,15124,14473,15327,21659
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",1487,2588,2610,2862,2793,3378,3302,3370,3317,2843,3072,3356,3648,4966,6277,7002
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",229,335,430,389,338,349,460,511,638,583,799,687,715,631,606,863
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",3684,4841,4692,5162,7747,7210,6147,7304,6634,6725,7780,7839,9350,10980,10519,11208
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",7121,7636,8085,8304,9431,10533,11937,11137,12488,10273,10120,11407,12590,12779,12792,15029
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",12843,13521,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",32422,32157,32657,32487,34038,38082,42085,45056,39251,36280,34951,33393,32449,33786,36028,39361
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",2498,2544,2699,2815,3022,3535,3743,4947,5352,5248,5193,4306,4647,5044,5715,4782
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",764,748,943,1061,1235,1865,2262,2370,1651,1177,967,924,1018,1766,2523,2450
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",1051,894,609,996,487,596,713,635,545,926,1141,1050,961,903,737,785
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",5682,3542,3925,3658,4466,5220,4646,3959,2905,3060,3328,3448,3680,4659,5665,6839
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",1971,1803,(D),(D),(D),(D),(D),(D),(D),3389,3750,(D),5050,5967,7428,7635
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",18204,16709,16685,15431,14846,13005,10219,10244,9598,8203,7744,9085,(D),(D),(D),(D)
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",961,888,638,892,921,635,615,494,309,357,431,322,340,412,671,597
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",6363,6067,7350,7805,7863,8519,7908,10819,10319,12438,14064,13121,12927,13415,13982,16376
 "23000","Maine",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",7534,10185,9581,9919,9349,9954,13651,12035,13226,12490,13706,13348,13749,14936,16307,15251
