GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",7484760,7626757,7535934,7556023,7480241,7244223,7092367,7013861,6630103,6699848,6932328,6923971,6962773,7124277,7605255,7723929
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",1171563,1162028,1232463,1252321,1270346,1297889,1329145,1327393,1176936,1195120,1293973,1348516,1446628,1493260,1803406,1801892
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",71906,54387,46168,66013,61035,59580,53976,60539,60477,95910,83079,98729,112121,102777,135613,109015
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",56682,83890,90401,73311,74510,84650,73832,87077,58919,41943,43023,42667,47925,46529,48034,44988
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",9584,9727,10354,10457,9035,8792,9942,8161,6559,6127,8224,8635,9162,8316,8297,9136
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",32550,38300,35224,29532,32973,23933,31909,30832,38942,34566,33007,33022,37472,39016,42191,37006
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",53166,52381,57003,64539,70138,76561,87010,78230,89186,70455,70124,74089,80552,85544,86559,99922
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",215642,212714,230698,233400,250727,264798,269867,265694,244084,239124,255013,292923,334429,345750,353192,354475
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",235948,218774,245791,240899,237495,230273,235573,229486,182031,166294,182373,175780,179045,205177,237790,253893
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",50593,46621,47099,47311,46238,46761,48249,49257,51096,42180,33565,31095,39263,41599,41271,45640
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",20694,26975,33989,45419,48531,41763,48687,51459,29460,40773,46706,40802,40664,45436,50928,47378
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",131752,123540,127082,121732,121363,136578,150412,143514,124764,150620,208932,195692,202552,204579,419939,408437
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",84671,83015,89517,92126,97487,105538,99044,90239,69422,85555,99014,95472,100253,92966,94123,95130
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",23368,22116,22115,23325,26125,29432,33399,36383,34705,37560,40855,45421,47606,52054,59482,61949
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",123492,122069,118724,104576,96277,90822,84579,81587,73865,68814,75582,94152,93379,90198,90900,89539
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1406,1231,1350,1805,1776,1495,1605,892,689,923,1239,1382,3078,4498,6758,9883
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",34664,33723,38653,44166,46033,42904,40949,52703,51002,55780,56347,54568,54627,57253,60163,62039
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",25442,32565,38296,53709,50602,54011,60113,61342,61734,58497,56887,64086,64501,71568,68168,73464
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",5924784,6072820,5914362,5913248,5818890,5559585,5366062,5292442,5093445,5174805,5298990,5186314,5138543,5240094,5379616,5487033
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",58873,60368,61954,65850,69629,67316,68695,60882,51718,43298,35859,42749,43147,39251,37509,37229
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",5087,5326,6622,6456,6714,8299,10463,8710,9854,8848,9229,9370,10902,12323,13820,15646
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",25049,22662,21100,22973,23303,32999,29749,31035,31143,29731,31412,32865,33283,35938,36140,39731
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",2723615,2847206,2736064,2703481,2613675,2315813,2047139,2097383,2067797,2108253,2074235,1980352,2015137,2060808,2114486,2163610
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",441,273,249,743,840,1126,1159,1255,710,662,639,662,660,606,560,531
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",221,"...","  Publishing","Thousands of dollars",761672,733588,797708,788018,775812,793220,814859,821590,782832,759431,766907,775164,823795,798613,815267,798837
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",199296,195617,202679,206121,193126,188332,194285,190870,178335,196850,(D),207960,(D),(D),218435,225051
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",15497,13653,11113,13493,11481,13457,25932,24128,27021,20795,19759,23156,18812,13118,17060,17216
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",485631,500814,525667,592275,607947,619405,659471,630908,625250,624471,663686,676839,675228,703379,698521,686765
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",225,"...","  Other information services","Thousands of dollars",60039,45888,54530,66091,75563,81651,64398,59649,69427,73546,77234,80472,83575,99475,112244,119715
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",36588,31327,28419,32647,29633,31927,(D),(D),(D),(D),36007,22536,14975,18055,18480,23032
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",242604,206754,206183,212778,216055,209180,223721,213932,182560,172908,169410,165257,163763,166124,165159,175369
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",19947,20780,19832,18485,18996,18267,13714,9480,11232,16580,10988,8667,8034,8628,(D),(D)
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",21887,30758,29623,30173,31244,30224,40876,40072,29812,28959,30979,31826,30773,30274,36648,35960
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",2093,2823,(D),(D),2154,2155,(D),(D),(D),(D),4732,169,134,(D),(D),(D)
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",160833,(D),(D),(D),148835,136259,133592,126872,108199,107315,(D),68245,(D),76328,(D),(D)
 "26000","Michigan",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",240,"...","  Construction","Thousands of dollars",288608,350307,209529,156872,160262,166111,135479,98057,106996,197334,196008,261962,152361,113868,166848,160460
