GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",5645817,5710455,5688780,5743179,5573707,5748314,5900671,6088421,5816098,5928944,6147006,6320104,6558405,6952697,7432115,7523131
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",841429,831609,851608,875425,912536,1020102,1125788,1123417,1022889,1030731,1101578,1155719,1243441,1322094,1440995,1413374
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",71358,54359,43849,51596,38653,34125,32627,34190,34904,61885,63252,60193,58963,64411,61163,62727
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",28668,40669,34146,32417,30566,35623,39750,51066,41492,32252,33964,43764,47279,54686,64386,65319
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",3022,5206,3885,3352,4748,5677,5355,4641,4910,5577,6684,8612,9745,10954,12714,15395
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",34908,19646,22082,19980,22138,26353,32665,33369,41383,42867,48908,63930,68596,60381,59323,39536
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",37703,42355,48076,50848,52964,62540,76869,70128,75577,62618,(D),(D),(D),(D),75230,85331
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",65212,65810,75561,78962,90250,107714,116871,116572,104483,102454,111719,139159,150170,164160,177938,210127
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",202547,196282,203650,204237,225617,249114,283519,299599,246351,220072,224418,204985,211667,221669,250484,272435
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",49733,55318,57949,61655,72331,96533,130114,111513,88329,90299,99518,102450,126966,148727,171549,94854
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",12779,12447,15322,17487,21501,25779,32818,28696,20043,20603,23129,21735,25783,29175,33815,34250
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",14905,15833,17561,23616,25392,31807,22603,19998,17167,20283,23394,21286,20598,23897,20906,21849
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",48007,46518,46898,47713,52723,63875,69055,54677,44060,54405,62864,58470,78877,87137,102586,105246
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",23591,21766,22194,22225,25121,29107,34427,35197,35827,41441,46804,58488,55704,63949,69410,68567
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",162321,157779,156919,148211,137383,132136,125155,115884,110705,102067,(D),(D),(D),(D),152714,140530
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",8063,8681,10506,7625,4767,4491,4079,3466,2297,3990,4327,4363,4556,4866,4136,4528
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",32670,30654,32698,35264,38042,38279,36880,61855,66704,78184,74709,63648,64945,67807,61670,63208
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",45943,58287,60312,70233,70340,76950,83000,82568,88657,91735,94962,96031,94653,98212,122972,129474
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",4541217,4609910,4570248,4591446,4374903,4427515,4451825,4636227,4478467,4606733,4753953,4828761,4988642,5288801,5622663,5733141
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",31406,31804,33665,34693,33200,39626,41290,31794,29328,23877,19210,19704,17863,16701,16998,21388
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",2979,3283,3846,3816,4143,5414,7351,5762,6614,5842,6121,6650,7847,7875,8772,9452
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",5942,3303,3791,3990,4054,6700,8516,9779,10851,12318,13038,15090,15782,16158,16202,18444
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",2129027,2182539,2122504,2061375,1824199,1687289,1540103,1661266,1656041,1684982,1707537,1632491,1640437,1660879,1736329,1764985
 "37000","North Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",2427,2039,1620,2092,2507,1206,1529,2009,1939,2130,2483,3017,2902,2884,3202,2773
