GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",3361378,3338935,3382271,3358522,3260349,3302377,3473108,3589728,3459209,3516255,3625708,3610965,3707975,3894179,4110114,4303646
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",391317,381669,406258,426663,459368,511876,563296,582487,519474,561167,598817,639503,679235,747825,833464,893679
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",45758,39840,37374,50565,53744,52686,47509,49973,50621,87522,88236,90093,85597,89536,94252,105339
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",14726,16800,17705,11894,12578,16348,17344,20149,14310,12898,11783,16374,17223,18032,19540,19345
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",662,564,749,950,884,899,975,1446,1888,1664,2165,1483,1560,2464,2071,2651
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",10575,10932,11344,10923,12070,14584,12708,13755,15027,15443,14683,13930,16175,19403,20227,22915
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",25790,25522,28558,29010,30263,34085,38706,35144,37377,30503,31646,36077,38701,38877,38719,42949
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",51799,45698,48845,52387,56657,69256,78880,81624,81378,81823,92116,115047,128017,142453,156259,166012
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",108187,102889,107199,111859,131995,151073,177988,175156,135492,128578,134532,125008,135067,152972,185611,204180
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",12720,12511,12426,13203,14631,18992,22825,24804,21889,21702,23086,21364,22531,23625,27972,31687
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",4440,4347,5638,6490,8629,10828,14143,14430,9423,11082,13073,14137,14447,15030,18166,19528
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",5446,7028,10919,17951,19977,17632,17131,15317,13492,19686,22288,20690,19174,18535,17368,15475
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",31337,30381,33356,33487,36994,42309,46967,51059,40383,50453,59305,58814,63008,74134,85579,92159
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",5383,3974,3345,3004,3319,3786,4220,4939,4861,5650,6777,9739,11171,14446,17256,19458
 "41000","Oregon",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",49004,48973,48837,43922,41711,39454,39144,41803,41347,37462,34577,48222,52912,60317,63320,63838
