GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",1183967,1145103,1137728,1147710,1136530,1170844,1156006,1126079,1071301,1108619,1104456,1064386,997410,1034559,1035953,1052312
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",129398,141188,148010,157034,157297,165391,172760,182751,153245,165230,172350,177585,186201,194361,200068,217310
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",15897,15540,13915,18557,18185,15945,14410,15923,16295,27949,25975,24645,26298,27335,25824,30158
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",1558,2241,2676,2285,2895,3916,(D),4669,3834,2724,2336,2701,3620,4176,4288,4075
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",605,(D),(D),232,(D),(D),(D),(D),(D),(D),(D),730,784,378,(D),(D)
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",4172,5817,5605,4504,4667,5456,5939,4450,3577,3691,3464,3310,3273,4239,5689,4775
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",12192,12680,14297,(D),14933,17164,20850,18714,20094,16438,15964,17696,(D),(D),20271,25661
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",11023,10917,12035,12195,13277,14576,14491,13360,12570,12802,13448,16388,18055,18723,20251,22032
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",19315,(D),22746,21988,23974,26113,28867,27786,23386,21616,(D),19932,20214,21502,25041,(D)
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",2021,(D),2041,2297,3137,3579,4584,5717,5506,5116,4350,3170,(D),(D),4014,4787
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",2458,(D),3366,3921,(D),(D),5016,4697,(D),(D),(D),3764,4526,5022,6463,6589
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",5004,5222,6004,5869,6450,6930,7587,7729,3226,1887,1646,1668,2402,2913,2798,3462
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",8385,9323,9859,9103,9047,(D),7721,8171,6188,6859,8267,7444,7909,7998,9384,8785
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",1586,1383,1296,1469,1908,2022,2058,2256,2430,2696,3026,3537,3562,3872,4468,4918
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",17783,18330,(D),11958,11340,11133,10827,(D),(D),11348,12383,15842,16178,16486,(D),(D)
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1343,(D),652,818,(D),496,279,143,(D),(D),(D),464,649,1126,1106,2430
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",4202,4478,4735,(D),5385,5731,5841,6583,6117,6734,6688,6097,6222,6683,7705,8463
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",21855,29109,34127,42635,36555,37426,39733,50452,33931,41153,49372,50198,50417,50675,47026,49523
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",1022194,969765,954439,954334,942352,967215,943245,902671,878573,906338,895651,845414,770584,797931,790638,789219
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",4329,4631,5356,5517,4889,5363,5826,(D),4519,3369,2568,3155,2994,2989,3020,(D)
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",1017,(D),1127,1049,1206,1452,1936,1727,1972,1858,1988,1914,2183,2326,2526,2597
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",2161,2026,2136,2268,2414,3352,3205,3682,3893,3871,4014,4339,4396,4415,4555,4901
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",259262,277438,281048,263799,252435,252960,253212,249941,247353,253164,264902,267604,271496,264228,267155,280471
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",221,"...","  Publishing","Thousands of dollars",(D),94229,99916,101785,134844,102850,101224,94839,89792,83385,100064,95697,91040,88128,81973,79047
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",12718,15131,15908,16614,17887,47671,13320,29904,23598,34665,23118,19516,17884,26436,29309,23575
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",293,230,233,226,221,592,442,766,793,457,1766,814,822,980,983,942
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",63949,68019,74264,75110,(D),83492,95409,97965,96579,95089,96013,95815,80931,80420,72451,69128
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",225,"...","  Other information services","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),11700,12280,12330,(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",365957,319045,298564,325277,289711,306528,313893,272994,279517,285449,257893,213146,154044,(D),(D),(D)
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",27628,22207,20330,19475,20325,19715,19783,18641,15406,15057,17228,16446,16492,17737,18127,18135
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",3068,4587,(D),4920,5108,6287,9007,8575,(D),5933,(D),(D),(D),4959,6134,5419
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),1652,(D),(D),1274,2134,81,65,163,50,57
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",8316,7307,5933,3721,3427,3770,3432,3226,3242,4318,(D),(D),3651,(D),(D),(D)
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",240,"...","  Construction","Thousands of dollars",36017,26568,26395,21168,22580,25558,22944,14212,10474,19600,9592,12986,28826,26941,26055,14259
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",44482,48301,43613,39137,34084,29539,36825,(D),(D),45987,(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",(D),59173,54705,49035,47916,46467,45875,43323,39251,37682,35760,37277,34541,37750,40552,38198
 "44000","Rhode Island",1,"SAACArtsComp: ACPSA compensation by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",32376,34151,35279,36342,36881,38238,40000,40657,39483,37052,36455,41387,40624,42266,45247,45784
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
