GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",2149195,2215050,2227113,2244159,2236057,2326636,2394063,2426238,2313569,2331481,2411299,2441612,2504609,2562928,2695475,2766984
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",268572,272524,291232,308348,329411,360555,388114,394274,349059,362005,388109,400987,410044,455556,(D),(D)
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",32905,27993,28439,39936,35241,34667,31908,33784,31852,54414,54423,52308,50313,51476,51804,55451
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",8324,16193,18253,14416,14468,16443,16651,19910,14795,11739,13870,17655,18897,20922,20629,20559
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",558,574,886,1265,1279,1221,2048,1923,1551,1602,2009,2169,1998,2151,3359,3681
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",4039,5166,4549,3897,5020,6996,6592,6975,8910,8930,6794,8288,10084,10883,12977,18295
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",15512,15097,16001,18286,19124,21731,25679,23726,27851,22804,23868,26502,28848,31109,31113,35073
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",23799,24685,26579,27194,29370,35249,40421,41988,40637,43523,51354,62092,70354,89929,78101,82432
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",85889,80481,87064,85045,97612,106021,125296,125907,96848,94249,102349,102221,96074,100601,113062,122135
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",27167,26900,26295,33949,34863,39215,29861,28707,24197,21167,20455,20920,25866,27453,30795,31828
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",5602,5523,6829,8714,11283,14859,18603,17917,13852,14333,15033,12905,13515,15615,18423,20050
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",7802,6724,6377,5952,5592,6551,11522,7864,5335,5849,6353,3546,1886,1860,1902,1662
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",8541,9865,12148,11193,13621,16114,14606,18297,14896,16877,17611,13518,13638,14741,15761,17875
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",4759,4767,4728,4475,5506,5191,6387,6828,7182,8041,11076,11836,12658,15111,18026,20325
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",22781,22423,24274,23063,23303,23636,24336,24374,22664,20255,21472,26906,25065,26792,(D),(D)
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1124,1223,1493,1043,1196,909,1098,1127,1002,843,995,1285,983,1551,1827,2736
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",8125,7909,8556,9495,10283,10610,9735,12030,11706,13703,14998,13692,15407,19225,20851,22909
 "45000","South Carolina",5,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",11645,17000,18762,20424,21649,21142,23371,22920,25781,23677,25450,25145,24456,26139,25094,25538
