GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",15756341,15912803,15712598,16395401,16379142,17488370,18741003,18755115,18412408,18860638,19343999,19606840,20310051,21172391,22115309,22962919
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",2335184,2303137,2350209,2430386,2571320,2907417,3144304,3298054,3067876,3101260,3223417,3329616,3590490,3980809,4200820,4409792
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",215097,177689,166360,210459,200271,180634,165065,166737,208977,365209,338134,314541,334620,362779,359983,399830
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",124762,186963,192878,169683,207676,270277,250405,302421,242846,166897,153720,107470,111974,113458,117046,115604
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",10603,12972,13023,16099,14707,16702,17089,19512,21267,19208,22792,21927,27430,27232,28064,35889
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",68124,78538,68953,73369,64348,77493,80334,93853,91802,90686,122100,133755,131304,178332,173428,185437
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",118217,121032,133735,146299,161559,182155,205565,190906,222004,193040,187965,213868,230650,244888,249263,278961
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",325220,321064,323262,333697,356432,412176,453216,445308,433932,432761,457024,532655,585099,629951,641607,658163
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",667401,621414,633826,646988,702687,834243,953959,996251,840107,767269,796037,804202,855874,975195,1077363,1138625
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",103688,110532,117438,131161,144503,159699,181237,191558,167204,159963,155270,135832,158112,176361,202409,195815
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",61691,56008,70561,83015,97897,130408,156811,156942,127203,144632,168186,176459,193133,213026,224332,224111
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",32810,17257,17805,21313,18422,19795,25223,23015,20602,25504,34257,39124,42301,47904,45206,38988
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",137125,124022,128448,133606,141764,152809,158398,168945,144799,167924,174026,152164,169281,189651,205493,227923
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",69173,61822,59787,65628,76479,91514,104725,113158,108842,123171,141048,177655,196983,220086,249011,261447
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",255284,248650,233410,210891,193776,184214,188811,195881,194984,180990,181960,235041,251745,272232,274306,277035
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",5974,7120,8579,9438,10147,9052,9546,7628,4912,6748,7982,6830,11421,12880,12468,10880
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",86335,83856,99662,84856,91759,88884,83373,108298,105831,126629,149831,147100,156338,173993,182140,184863
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",53681,74196,82483,93885,88892,97362,110548,117642,132565,130629,133083,130994,134225,142842,158702,176222
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",12685671,12873034,12632916,13206408,13004693,13718641,14651781,14466785,14381340,14860828,15191517,15180378,15643465,16051441,16696643,17345397
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",189296,197604,179661,214379,142022,156738,179905,167597,146362,128734,118940,133265,134471,153872,162498,176405
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",6224,6830,8142,8710,9210,12288,14450,11146,12659,11844,12816,13242,15786,16652,18520,20116
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",16730,14987,15774,18201,19450,28201,26043,30423,32503,32185,34774,40000,41169,44894,47030,51705
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",4811661,5119988,4978687,5162068,4990682,4953127,5079623,5237599,(D),5770481,5764212,5562708,5823652,6072402,6455585,6755104
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",6984,5173,9014,10891,11842,13083,15123,15428,17021,18293,19764,23978,23944,30665,30197,29298
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",221,"...","  Publishing","Thousands of dollars",(D),(D),1641170,(D),(D),(D),1894136,1874651,1745300,1691535,1741286,1840205,1970692,1976338,2039645,2077907
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",490405,454369,498615,493155,468658,480307,500923,468405,548977,527027,537999,603813,664152,709514,757367,812151
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",66878,70214,72397,103713,87181,114607,152307,214724,172066,156535,162291,133110,138076,161699,151953,151520
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",1945329,1928015,1965056,2112487,2149408,2280840,2732247,2603004,2458682,2533792,2665769,2770615,2892596,2954612,2921021,2985662
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",225,"...","  Other information services","Thousands of dollars",185484,111225,112411,151115,193349,232899,156326,132572,146010,156836,164968,199891,190455,225989,244066,249116
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",95983,93927,106876,129857,107741,115761,126169,(D),150547,(D),150144,151230,119035,140528,149977,181896
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",412976,347946,339372,353314,352083,353628,377846,355695,302932,286436,329361,308513,301064,307568,309214,304783
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",8318,9770,10201,10489,9192,8858,8904,11082,11729,16227,14155,12950,12766,15021,13787,12737
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",30351,44952,47288,50148,56477,63808,92794,98324,87289,80305,83010,85008,84064,96284,114671,103567
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",(D),(D),3466,(D),(D),(D),3574,(D),(D),(D),8271,240,202,694,191,199
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",82395,76771,80636,81886,84818,86871,85524,87075,58049,50951,42549,39281,44219,49990,52063,56868
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",240,"...","  Construction","Thousands of dollars",662731,644471,449088,407536,405193,623905,546581,353979,521068,782109,788543,562920,484641,376133,341133,473883
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",582931,654926,606175,704494,732770,860905,1045193,1057802,872617,949459,1030888,1167635,1224036,1236340,1383834,1382350
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",1444118,1497192,1508887,1523113,1517761,1589615,1614114,1613866,1554750,1501545,1521776,1531773,1478446,1482246,1503891,1520129
 "48000","Texas",6,"SAACArtsComp: ACPSA compensation by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",735486,736632,729473,758607,803129,862311,944917,990275,963192,898551,929065,1096847,1076096,1140142,1217846,1207729
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
