GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",1958492,1934915,1880392,1966618,2039919,2126890,2275077,2348389,2299318,2433711,2460002,2667210,2779667,2951635,3185083,3430242
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",289034,337826,235201,242367,271028,319146,362586,375206,336998,345384,373999,416584,451824,501555,544332,568605
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",25187,20228,18036,24972,24019,22860,22243,23919,24561,41897,42913,41527,45406,52030,51886,60109
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",60688,120151,19223,14430,17483,21849,23527,27029,23192,18252,18363,25139,29590,29207,31183,34843
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",1075,1200,1114,1640,1827,3055,3045,3109,409,534,585,616,883,1226,1040,1178
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",18547,17992,13651,10218,12167,13256,12853,13902,12298,11107,12005,12855,13214,14517,18891,21819
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",11220,10782,10642,11624,13498,15944,18811,17405,19846,15315,15225,17794,(D),(D),(D),(D)
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",28500,27535,29799,31124,36800,46034,50484,51517,50858,50070,54105,64083,76449,85473,91814,89904
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",61866,55923,58470,59172,69737,85979,101378,98570,79859,72216,76071,73321,74180,84798,98789,107916
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",7599,8486,8438,9984,10630,13143,16530,17328,13203,11193,8808,8767,10030,10548,11975,13304
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",3253,3352,3615,4541,5970,8224,9820,9175,6603,5907,7274,6565,7734,8840,10219,11488
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",3988,2644,1340,1970,2979,4752,5473,5369,3198,6251,8665,8280,11435,13615,14026,6233
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",14822,13318,13698,15093,20768,28249,34127,32657,25387,29117,33228,45971,49809,52424,49251,39958
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",10123,8824,9691,10978,13272,15560,19315,20951,20516,21218,23573,28311,29884,35127,39695,42512
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",28256,29410,27444,22053,19023,17839,17695,19123,19935,19512,21460,28206,(D),(D),(D),(D)
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1430,1576,1759,1830,2385,2482,2603,4264,2938,3096,3697,3683,3755,6637,6638,6520
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",4929,5449,5537,6628,8043,9029,10097,13416,12665,15118,16771,16391,18422,21847,23960,29021
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",7550,10956,12745,16109,12429,10891,14586,17472,21531,24580,31257,35075,31168,31823,37927,40304
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",1606059,1532428,1580829,1656669,1697244,1729494,1825554,1882799,1874556,2008438,2004477,2156191,2233723,2352749,2534300,2750405
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",13713,14601,15618,16181,16156,16360,18496,15645,14737,12259,10748,11537,11803,11972,13882,15656
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",448,366,422,350,371,460,549,487,493,499,500,519,704,806,915,1052
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",1275,1269,1378,1657,1759,2482,2127,2345,2465,2664,2808,3127,3334,3716,3798,4673
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",607328,621286,603987,619057,574048,565111,556705,593382,611911,634927,658322,661474,665524,684334,712790,739784
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",7211,4736,5853,6206,6406,6793,7705,7243,6598,7119,7610,7903,8017,8116,8918,9177
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",221,"...","  Publishing","Thousands of dollars",261896,247576,269353,274131,333104,294543,331489,326142,314454,317891,339317,423815,478044,543690,594368,673124
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",114043,97276,101016,94075,98865,103840,87358,95604,92982,89137,87921,94597,118577,121432,128407,137654
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",1792,1825,2325,2338,1809,2299,6880,8165,7994,6721,6465,8073,8247,7630,5960,6420
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",109286,110843,106853,121586,121392,123941,138842,139052,134368,121895,131869,153232,155324,167215,183493,204028
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",225,"...","  Other information services","Thousands of dollars",57885,35184,35520,44123,59084,72475,80933,67828,60570,78726,92860,124304,106682,92968,103320,119829
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",37083,33380,39822,42492,37319,36428,37263,39202,44483,45139,41525,43375,33473,41294,36651,43986
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",49734,42216,42821,45982,47670,52971,57687,(D),45662,41635,54172,49045,48507,49777,49125,52333
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",469,429,1101,1137,1299,1234,(D),(D),(D),(D),(D),(D),1538,1859,2735,2407
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",9162,12400,11957,12515,13535,16316,24159,25794,22526,21956,23630,23360,22885,23219,27300,27202
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),196,(D),(D),(D),(D),5,(D),(D),(D)
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",5961,5757,(D),(D),6746,(D),9280,13418,9317,8395,7106,6117,4856,(D),(D),(D)
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",240,"...","  Construction","Thousands of dollars",87020,51957,43835,40580,52823,64742,65344,54928,71596,124363,55542,45296,56917,73125,58219,39998
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",(D),46296,44489,44035,(D),(D),65931,74966,68373,76820,117131,102067,112961,109500,119362,127498
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",195314,(D),248312,283618,279865,309831,333199,361281,364681,416598,365038,396834,396327,407711,476545,535958
 "49000","Utah",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",63398,64661,64362,67581,71648,78249,86936,90384,87763,79888,81526,94435,94120,97331,106452,111233
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
