GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",10208277,9910649,10190851,9627097,9815984,10512595,11764534,11970739,11953631,12221268,13173140,14566763,15491517,17195519,18396083,20944139
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",932757,868143,894337,907281,944505,1057599,1146611,1207708,1083722,1096716,1154797,1152078,1207949,1294771,1365397,1472397
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",102006,86108,82349,114753,113923,113553,95957,105204,108459,167719,162872,144117,157231,158802,161839,174351
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",21552,38130,44297,38759,36080,44856,47415,60256,48094,34256,33637,37660,42545,47486,43567,42515
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",1616,1740,2822,1641,2209,2395,2367,3675,3359,3132,3542,3840,2957,5138,2591,3284
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",29331,27009,25868,22302,20210,25329,25340,30399,30256,31159,25021,24247,25940,28858,26928,28424
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",50407,45789,55211,57018,59204,67365,75094,69837,78805,62523,63230,70763,76938,78918,76107,89208
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",108026,98320,102130,92054,105964,127684,145552,145355,136818,131650,151031,167028,179457,171164,178227,182670
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",312799,272061,284475,290164,308724,349245,403069,421225,344033,317857,332563,316389,324185,357251,398304,441654
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",35502,36510,36465,34445,36724,44712,42530,42579,38371,32582,30701,29340,29921,31481,33461,37938
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",9022,7736,9001,12152,14881,20106,24325,23309,15999,16542,20916,19370,24215,30789,34160,32919
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",8238,18325,17883,19279,21265,23201,29972,22639,17815,17924,24630,24082,27575,30622,37133,34356
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",68181,53969,54665,44493,48732,61475,69351,79222,63839,82068,99975,95225,92685,100997,105801,120690
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",31931,26391,23301,25035,27558,32280,36285,40732,39903,46921,48653,55646,55616,70760,71884,82094
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",106064,100094,90943,80645,71499,64748,63194,63628,63174,54458,57288,66202,65834,70531,73891,74245
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",585,600,591,790,598,596,597,536,616,975,1042,975,973,1268,1652,1736
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",27960,29578,31829,38255,40848,41611,44468,58318,53923,60266,63457,59158,60216,64804,72089,78411
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",19538,25785,32508,35497,36086,38444,41093,40794,40259,36686,36238,38036,41660,45903,47766,47903
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",9074117,8835601,9090318,8503121,8646831,9218879,10362228,10498124,10611147,10885918,11776659,13136289,14010393,15617030,16725888,19157762
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",41128,42236,48014,50596,46041,49209,53923,46905,41131,28664,22894,21442,21341,19629,24334,32053
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",3273,3542,4329,4392,5035,6717,9989,9508,12326,12586,12818,13045,16873,18898,20880,24204
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",10925,9983,9983,10951,11587,16541,15684,19366,19678,20015,21564,24315,24408,25284,25437,28864
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",2691540,2851710,2814948,2758212,2660444,2536821,2491658,2618837,2653267,2651437,2667924,2694589,2791844,2905930,2999239,3201378
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",1910,1077,849,1146,1767,1844,1989,2131,1592,1590,1721,1671,1562,1675,1815,4602
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",221,"...","  Publishing","Thousands of dollars",4250147,3793906,4118139,3289661,3277073,3758735,4639964,4566671,4633371,4736211,5188391,5859536,6216276,6853686,6721557,7162061
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",113749,97819,108996,118982,126765,133919,147185,151827,150731,147509,156987,158960,157917,162584,175157,174127
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",5954,(D),(D),11055,11787,15701,19371,21668,22050,19542,19534,(D),24781,28033,(D),(D)
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",413262,388413,401641,424874,413089,433962,452929,475784,473684,483347,486389,495506,478624,490076,499081,506021
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",225,"...","  Other information services","Thousands of dollars",(D),122044,123379,226250,287593,368238,264834,279528,267042,309113,452183,580361,564890,702897,950705,1258215
 "53000","Washington",8,"SAACArtsComp: ACPSA compensation by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",8781,7072,7861,8467,11653,13241,14860,15711,17299,17578,17388,18069,12620,13696,13104,14532
