GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",4533367,4547730,4515522,4599226,4512288,4464280,4545608,4647204,4473550,4553833,4741759,4936633,5014037,5186303,5321106,5591250
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",498074,496256,519816,547601,569105,601466,628904,650074,612805,618316,647304,711279,751916,805808,820426,854514
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",47890,40727,38064,51153,49514,49114,43848,43906,44108,70910,67914,(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",15753,21671,27389,21115,20250,23899,26693,30698,29151,22386,22481,22873,22879,24153,24987,24836
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",672,865,1077,1194,1382,1429,1191,1292,1315,1229,1547,2006,2380,2462,2851,3434
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",13308,12677,16564,21522,22338,26798,24134,26751,27801,20907,20837,21279,22353,24095,27691,30134
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",27043,27818,31701,32473,33873,39522,39855,39884,42200,34052,35007,39938,42630,43746,41252,45462
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",71767,71200,78577,81591,86425,96095,100852,101857,98956,95318,100481,120579,135680,143459,145725,145078
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",106546,102781,101865,108760,112526,115947,127990,132427,119160,109898,112790,111838,115597,122838,138303,150054
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",12714,11639,11633,13244,14517,15116,15931,16277,12455,10726,11929,12660,12881,12987,14175,13551
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",2364,2205,2636,3012,4049,5517,6874,7652,5353,7167,8006,7100,8137,9590,11129,11233
 "55000","Wisconsin",3,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",3624,3538,3412,4377,4636,4686,4003,4430,5950,8171,9204,9958,9382,8993,7540,15281
