GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",10,"...","Total ACPSA compensation","Thousands of dollars",535411,537604,560797,585159,572351,595221,620537,647919,656646,672989,699134,690040,689939,720950,717744,738946
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),44269,45032,46351,47244,48950,53798,53807,57378
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",1663,1757,1951,2795,2440,2849,3081,2972,3117,6752,6474,4809,4219,5851,4600,5008
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",(D),537,(D),(D),(D),(D),(D),(D),926,796,630,(D),1557,1740,1670,2088
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",64,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",3545,3229,5697,4474,4110,4623,4584,3687,2853,3282,2551,(D),2815,3039,3282,3340
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",120,"...","  Museums","Thousands of dollars",5687,5836,6800,6748,7333,8151,9264,8590,9382,7657,7513,8106,8549,9078,8715,9602
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",131,"...","  Advertising","Thousands of dollars",1359,1377,1496,1507,1791,2085,2273,2138,1889,1915,2400,(D),(D),(D),4138,4611
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",9600,9479,10106,10374,10302,10826,12307,14434,11917,11310,11582,10696,12018,13067,13198,13288
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",1553,1252,1319,1577,1433,1539,1379,1446,(D),1319,(D),1506,1591,1627,1714,1864
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",866,852,916,887,1130,1434,1657,1496,1396,1312,1583,1470,2015,2212,2411,2328
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",347,501,318,297,273,237,353,2953,3022,(D),3587,(D),(D),(D),(D),(D)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",518,(D),383,(D),529,711,983,994,841,(D),758,506,524,565,470,503
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",(D),(D),(D),259,272,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",3478,3797,3662,(D),3264,2918,2659,2518,2715,(D),2488,2947,(D),2977,2594,2566
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",139,"...","  All other design services","Thousands of dollars",107,(D),97,(D),98,129,131,121,76,(D),44,(D),(D),(D),(D),(D)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",864,853,1008,(D),(D),(D),2098,3107,2773,3244,3472,3359,3629,3710,4127,4551
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",150,"...","  Education services","Thousands of dollars",752,1155,1021,1102,1073,1231,1315,1492,1440,1383,1380,1465,1490,1523,1571,1751
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",491863,492928,511713,535269,520929,538204,557146,578879,591801,609034,633214,620288,619534,644901,641613,661490
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",3205,4501,2168,2597,3419,4534,6536,7733,5804,5803,4389,3383,6957,7987,6232,6011
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",196,242,316,327,311,391,399,337,400,411,(D),370,(D),(D),580,(D)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",213,"...","  Unions","Thousands of dollars",(D),(D),(D),(D),(D),380,(D),423,(D),476,492,(D),565,624,639,(D)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",214,"...","  Government","Thousands of dollars",387551,391623,402021,414081,401756,405075,414035,425278,448434,456311,453260,467705,480071,499057,508651,526025
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",215,"...","  Other support services","Thousands of dollars",300,106,81,116,79,88,75,84,48,46,51,52,41,60,117,113
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",221,"...","  Publishing","Thousands of dollars",18651,(D),(D),(D),19491,20232,22047,21638,20069,19137,(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",5747,6838,5821,5881,7089,7242,8606,7880,8522,9341,10535,10676,11360,12307,13180,11172
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",(D),(D),(D),138,212,329,346,887,932,819,761,750,829,842,1067,985
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",21257,23129,25543,31691,28620,30648,36301,36966,37616,38355,39987,41675,39567,39667,39946,52055
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",225,"...","  Other information services","Thousands of dollars",997,815,1129,1382,2008,5023,2363,(D),(D),(D),(D),(D),(D),(D),(D),2392
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),198,179,(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",2548,1986,2105,2372,2484,2560,2495,2588,2048,2149,2668,2657,2553,(D),(D),(D)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",(NA),(NA),(D),(D),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",579,752,694,(D),703,852,1130,(D),(D),(D),(D),787,693,809,868,681
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",(NA),(D),6,8,10,(D),(D),(D),(NA),(NA),(NA),(NA),(NA),(D),(D),(D)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),79,86,56,48,(NA),(NA),(NA),(NA),(NA),(NA)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",240,"...","  Construction","Thousands of dollars",19738,16168,22790,25232,22214,26403,26655,34897,32226,41009,66382,37927,20840,25639,14148,(D)
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",2766,2744,(D),(D),3417,(D),4195,(D),(D),(D),(D),(D),8813,8473,(D),7023
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",27859,25787,26784,(D),28700,30588,31323,31709,27949,26524,24704,23643,24988,24730,24429,22754
 "56000","Wyoming",7,"SAACArtsComp: ACPSA compensation by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),20576,18923,19569,22507,21454,22251,22325,20079
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
