GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",15417,15670,14977,13987,13381,13212,12815,12899,12472,12428,12275,12182,12185,11861,11856,11878
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",1510,1509,1519,1405,1528,1520,1554,1557,1462,1368,1387,1412,1442,1481,1437,1419
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",279,294,259,130,162,157,162,140,164,131,148,164,161,152,140,160
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",(D),(D),(D),49,(D),54,105,111,126,111,132,131,131,133,124,129
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(NA),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",60,50,49,(D),61,(D),(D),(D),30,(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",249,264,299,336,377,409,431,447,349,326,334,337,345,362,358,344
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",176,164,145,152,149,144,126,130,138,139,131,(D),145,(D),170,153
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",324,331,351,362,385,374,386,369,345,326,313,303,299,292,261,230
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",(D),(D),32,35,35,(D),(D),(D),(D),(D),(D),17,(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",14,(D),20,(D),16,(D),(D),(D),14,12,(D),9,8,8,(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",(NA),(NA),(NA),(D),(D),(D),(D),(D),(D),(NA),(NA),(D),(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",14,(D),20,(D),19,(D),10,10,9,(D),17,20,24,37,49,50
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",13,14,(D),12,13,14,(D),16,18,20,20,20,20,17,16,17
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",(D),155,145,131,143,(D),(D),(D),(D),(D),90,86,91,(D),(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",(NA),(NA),(NA),(NA),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",52,(D),(D),60,61,74,(D),80,(D),78,84,94,105,113,130,141
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",63,66,68,57,54,55,60,59,56,56,54,51,52,52,50,43
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",13471,13717,13024,12148,11418,11253,10808,10881,10550,10642,10473,10302,10298,9936,9962,10015
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",(D),(D),303,276,254,243,235,225,205,192,(D),(D),122,(D),(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",13,14,17,15,16,(D),16,13,14,14,14,(D),18,18,19,(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",(D),36,(D),(D),(D),43,38,41,47,43,47,48,55,54,56,54
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",8987,9009,8183,7285,6430,5993,5236,5361,5510,5699,5691,5460,5286,5226,5105,5088
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",5,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",221,"...","  Publishing","Number of jobs",613,603,619,571,572,560,558,529,428,381,360,335,(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",222,"...","  Motion pictures","Number of jobs",457,425,419,403,(D),(D),(D),(D),365,496,414,(D),416,407,(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",223,"...","  Sound recording","Number of jobs",17,17,16,8,(D),(D),4,4,4,3,3,2,(D),3,2,(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",224,"...","  Broadcasting","Number of jobs",938,991,1093,1219,1319,1432,1559,1609,1606,1599,1593,1613,1606,1678,1767,1789
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",225,"...","  Other information services","Number of jobs",27,20,(D),30,(D),(D),19,(D),(D),(D),27,27,(D),(D),(D),22
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Number of jobs",19,17,17,15,19,17,16,14,11,8,5,8,7,(D),(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",232,"...","  Printed goods manufacturing","Number of jobs",90,69,66,68,64,67,69,66,64,67,(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",233,"...","  Musical instruments manufacturing","Number of jobs",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Number of jobs",(D),(D),(D),(D),14,14,(D),11,9,8,9,(D),(D),8,10,(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Number of jobs",(D),0,0,0,(D),(D),(D),(D),(D),(D),0,(D),(D),(D),(D),(D)
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",236,"...","  Other goods manufacturing","Number of jobs",9,8,9,1,2,1,1,2,1,(D),(D),2,2,2,2,1
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",240,"...","  Construction","Number of jobs",292,507,516,475,478,599,733,715,483,418,319,478,620,398,443,491
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",250,"...","  Wholesale and transportation industries","Number of jobs",199,239,(D),(D),253,274,312,300,260,243,(D),(D),(D),(D),245,233
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",260,"...","  Retail industries","Number of jobs",1472,1467,1443,1491,1533,1575,1620,1608,1516,1438,1500,1435,1447,1378,1400,1396
 "02000","Alaska",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",300,"..."," All other industries 2/","Number of jobs",436,444,434,434,435,439,453,461,460,418,415,468,445,444,457,444
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
