GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "04000","Arizona",6,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",97923,97255,93168,93136,90665,92522,92348,89580,80712,77993,78582,79719,82466,86147,90256,91878
 "04000","Arizona",6,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",15154,15044,14698,15558,16014,17418,17959,17845,14598,13941,13926,13937,14293,14845,15363,15722
 "04000","Arizona",6,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",1139,1265,1298,1436,1325,1509,1653,1737,1654,1530,1366,1408,1427,1472,1455,1489
 "04000","Arizona",6,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",616,714,608,812,920,994,1218,1412,1362,1386,1590,1780,1856,2095,2377,2328
 "04000","Arizona",6,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",155,142,142,161,212,175,239,224,155,135,134,125,118,121,158,168
 "04000","Arizona",6,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",548,490,494,444,421,555,625,591,392,406,414,428,423,409,410,420
 "04000","Arizona",6,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",1519,1485,1463,1547,1616,1694,1751,1727,1659,1781,1913,1920,1989,2132,2158,2327
 "04000","Arizona",6,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",2181,2110,1994,1941,1916,2060,1684,1619,1357,1350,1352,1493,1748,1934,1987,2064
 "04000","Arizona",6,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",2777,2533,2359,2528,2771,3017,3178,2975,2161,1790,1727,1730,1751,1797,1816,1925
 "04000","Arizona",6,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",879,848,891,967,1409,1678,1849,1904,838,703,573,488,510,475,550,475
