GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",757969,742338,723660,721111,701841,704371,720608,713942,653165,632043,632199,636367,659031,676301,705450,738284
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",150048,147908,149583,146573,147343,152267,155165,154766,138346,131754,135137,136907,141196,153295,156389,161029
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",15535,14687,14853,15346,14941,14334,14041,14248,13153,12463,12746,12454,12560,12896,12653,13229
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",6272,6777,6676,6669,7441,7482,7666,7215,6862,6590,6699,6625,7517,11095,11200,12096
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",5754,5764,5836,5917,6092,6360,7929,7908,8018,7821,8248,8554,9099,9950,10253,13680
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",10717,11903,14429,12583,12323,13618,13321,13228,12191,12230,13113,13138,13823,14170,12914,11877
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",10916,11114,11555,11639,11915,12354,13224,13854,13735,13712,13891,14394,14816,15564,15750,16501
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",25418,23776,22946,21339,20221,19801,19521,19928,17996,16930,18112,18818,18987,19666,20139,20412
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",17364,17348,17409,18310,18835,20209,20878,20342,15961,14474,14535,14896,15181,16452,17556,18441
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",5921,5692,5906,5929,6123,6482,6736,6042,4490,3962,4052,4266,4141,4597,4748,5165
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",2965,2884,2983,3170,3516,4093,4242,3905,3064,2651,2700,2855,3172,3600,3935,4215
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",3410,3579,3878,4575,5633,5715,5935,6236,4890,4436,4487,3681,4285,4449,4549,4530
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",16646,14936,14165,13457,13454,14146,14406,13621,11006,10287,10412,10462,10275,10945,10921,11153
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",2730,2314,2237,2296,2389,2537,2715,2834,2680,2769,2955,3198,3428,3661,4022,4108
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",18468,17493,16263,14678,13323,12756,11836,11505,9960,9362,9272,9515,9422,9629,9341,9181
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",242,313,357,414,491,630,697,864,844,399,424,427,489,504,533,498
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",3826,4211,4284,4289,4420,4625,4786,5080,4813,5052,5396,5666,6154,6737,7017,7445
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",3864,5117,5806,5962,6226,7125,7232,7956,8683,8616,8095,7958,7847,9380,10858,8498
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",582345,568932,549531,550373,530356,527953,540772,534723,491574,479485,476638,476355,495385,500160,524959,552929
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",15005,14054,13722,13017,12004,10969,10850,10579,9352,7348,6309,6155,5746,5433,5849,6285
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",1108,1161,1153,991,960,1006,1129,992,1013,955,969,1235,1237,1275,1273,1285
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",1709,1585,1677,1642,1456,1474,1365,1546,1720,1574,1726,1874,2153,2146,2311,2287
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",134084,136491,129791,119393,111584,106606,99372,101488,100068,94825,89943,85024,85754,88469,92345,90919
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",835,586,444,440,477,452,461,409,360,314,280,271,300,298,310,371
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",221,"...","  Publishing","Number of jobs",54144,50417,50294,47537,45997,45300,46786,45139,41350,39042,39128,40264,40290,40290,42611,43755
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",222,"...","  Motion pictures","Number of jobs",152186,145325,144970,159547,149040,148529,149414,151949,139079,141136,143016,141232,140301,141913,151530,169896
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",223,"...","  Sound recording","Number of jobs",6431,5704,5240,3714,3878,3663,4675,3272,3254,3146,3180,3161,2717,2882,2825,2866
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",224,"...","  Broadcasting","Number of jobs",19626,20016,20668,23855,25747,27665,35962,36947,35811,35425,35245,37116,46836,47342,45923,46835
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",225,"...","  Other information services","Number of jobs",6940,4576,4312,4354,4589,4903,9511,10451,10522,11239,12585,13894,16609,18519,21053,23359
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Number of jobs",5402,4896,4508,4121,3940,3651,3518,3275,2700,2403,2440,2469,2570,2685,2535,2563
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",232,"...","  Printed goods manufacturing","Number of jobs",18254,15002,13710,14110,13310,13211,13470,12580,10977,9938,9220,8611,8426,8466,8274,8245
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",233,"...","  Musical instruments manufacturing","Number of jobs",2919,2621,2540,2517,2667,2740,2684,2544,2220,2110,2177,2340,2337,2313,2251,2385
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Number of jobs",3043,4154,3633,3178,2942,2903,3960,3724,2894,2617,2653,2759,2765,2890,3150,3138
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Number of jobs",551,555,429,336,323,274,303,287,221,221,255,41,35,101,49,36
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",236,"...","  Other goods manufacturing","Number of jobs",3401,2872,2687,2552,2304,1966,2044,1811,1496,1455,1434,1268,1326,1492,1569,1704
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",240,"...","  Construction","Number of jobs",21851,25892,20821,20290,22165,21493,20148,17650,13651,14443,12048,10172,12482,10749,13452,17363
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",250,"...","  Wholesale and transportation industries","Number of jobs",36438,39179,37567,37623,36856,38780,43082,41444,32845,33448,35671,38905,39927,38923,40102,40547
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",260,"...","  Retail industries","Number of jobs",98418,93846,91365,91156,90117,92368,92038,88636,82041,77846,78359,79564,83574,83974,87547,89090
 "06000","California",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",300,"..."," All other industries 2/","Number of jobs",25576,25498,24546,24165,24142,24151,24671,24453,23245,20804,20424,23105,22450,22846,24102,24326
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
