GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",122224,119164,113069,107728,104194,102634,102617,101343,94866,92877,92317,93272,95993,97433,100634,103274
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",19381,18055,17745,18075,18432,19384,20089,19961,17664,16472,16597,17458,18922,19857,20704,21856
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",2200,2153,2013,2134,2035,1996,2020,1852,1737,1673,1622,1747,1773,1792,1770,1782
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",837,901,947,922,1124,1233,1231,1365,1317,1206,1388,1459,2121,2210,2347,2621
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",615,188,152,156,136,137,132,108,85,79,83,97,106,108,116,113
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",635,634,695,736,814,898,1038,948,827,741,709,740,685,813,851,962
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",1748,1653,1617,1687,1767,1937,2184,2212,2145,2191,2264,2338,2387,2524,2533,2753
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",2621,2359,2255,2325,2287,2306,2369,2471,2267,2179,2246,2422,2691,2855,2875,2882
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",3000,2774,2606,2745,3001,3317,3528,3445,2588,2115,2016,2097,2262,2420,2675,2915
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",1017,993,907,912,990,1036,996,969,734,592,545,542,591,629,690,692
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",612,564,595,674,707,834,879,827,637,547,526,545,600,660,722,741
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",154,130,289,298,209,207,267,312,249,229,263,334,316,346,354,404
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",1505,1366,1299,1261,1217,1337,1339,1384,1202,1128,1113,1110,1141,1122,1283,1372
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",435,354,328,338,347,365,390,406,397,398,425,457,487,514,546,590
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",2703,2512,2336,2115,1872,1832,1821,1744,1616,1471,1455,1401,1406,1313,1389,1378
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",9,13,18,20,21,23,25,29,28,47,52,58,65,46,47,51
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",507,522,578,656,698,706,694,741,712,762,797,892,1006,1107,1161,1201
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",783,939,1110,1096,1207,1220,1176,1148,1123,1114,1093,1219,1285,1398,1345,1399
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",99217,97528,91915,86271,82373,79833,78976,77801,73766,73324,72670,72363,73742,74163,76312,77774
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",2112,1881,1871,1776,1572,1387,1309,1192,1045,849,679,633,587,581,606,637
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",51,65,71,68,64,75,82,72,79,76,80,101,105,99,104,105
 "08000","Colorado",7,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",255,220,228,228,240,245,220,242,257,233,258,276,328,323,345,339
