GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "09000","Connecticut",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",68272,67360,65470,64714,62903,62503,63331,63476,58730,55967,55932,56741,57584,57624,57385,57409
 "09000","Connecticut",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",15859,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),13479
 "09000","Connecticut",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",1633,1577,1612,1597,1561,1399,1430,1461,1360,1195,1258,1236,1290,1306,1264,1222
 "09000","Connecticut",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",919,896,951,984,921,890,771,665,817,856,875,984,1125,1105,1082,1172
 "09000","Connecticut",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",264,248,261,286,294,259,270,374,408,402,311,283,314,333,335,336
 "09000","Connecticut",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",294,356,362,358,341,350,399,373,335,274,328,283,281,282,297,297
 "09000","Connecticut",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",1786,1764,1769,1805,1792,1852,1937,1962,1925,1878,1866,1855,1885,1942,1919,1993
 "09000","Connecticut",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",3120,2991,2820,2553,2392,2310,2197,2194,1951,1822,1855,1969,1964,2003,1877,1849
 "09000","Connecticut",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",1644,1677,1675,1677,1690,1690,1738,1705,1389,1237,1212,1249,1304,1339,1343,1306
 "09000","Connecticut",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",360,347,352,342,343,338,324,274,235,205,185,194,188,192,167,154
