GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",69212,67221,65695,63177,60697,58697,55571,54985,53071,50756,50391,50960,52048,51793,52204,52516
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",12459,12775,13319,13685,14157,14272,13938,14128,13334,11962,12147,13142,13863,13852,13545,13593
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",978,1194,1225,1133,1213,1229,1215,1219,1067,1062,1116,1079,1017,1074,1003,1038
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",222,746,837,839,982,768,869,899,985,960,957,1020,1147,1265,1349,1408
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",125,99,(D),82,71,80,75,81,70,68,(D),(D),(D),(D),97,117
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",74,96,98,82,107,105,117,151,147,161,166,154,138,162,157,182
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",597,648,718,721,728,704,723,1079,1036,927,934,924,843,821,793,827
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",(D),(D),2350,(D),(D),(D),2310,2463,2387,2344,2470,(D),(D),2522,2512,(D)
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",2142,2192,2316,2403,2520,2651,2852,2951,2823,1921,2028,2110,2149,2181,2183,2210
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",96,103,115,100,116,125,111,98,85,84,89,109,123,148,144,139
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",233,243,179,189,198,228,251,250,209,189,182,185,176,183,195,198
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",(D),(D),27,34,33,33,30,(D),(D),(D),(D),(D),(D),(D),(D),30
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",811,628,463,461,472,452,392,394,371,370,398,402,479,410,400,411
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",65,82,101,133,145,164,153,162,154,154,172,184,192,220,240,229
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",(D),(D),(D),(D),(D),(D),121,117,(D),(D),47,(D),76,(D),52,(D)
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",(D),(D),6,5,1,1,1,(D),(D),(D),(D),(D),(D),(D),(D),7
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",363,295,325,357,354,357,371,384,343,382,397,431,470,375,289,292
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",4264,3807,4162,4313,4651,4989,4347,3850,3527,3259,3097,3769,4425,4314,4104,3867
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",55993,53675,51633,48759,45809,43698,40880,40098,38983,38104,37561,37049,37447,37197,37874,38129
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",(D),153,177,84,79,77,77,75,(D),75,72,(D),73,31,30,156
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",122,143,117,111,108,125,134,134,152,164,175,224,239,245,263,273
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",1391,1176,1205,1183,1158,1198,1086,1196,1313,1173,1326,1382,1621,1564,1659,1612
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",41011,39529,37472,35042,32563,30611,28139,28000,27752,27466,27024,26127,26581,26539,26673,26826
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",8,6,7,8,7,7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",221,"...","  Publishing","Number of jobs",4700,4578,4709,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",222,"...","  Motion pictures","Number of jobs",1516,1506,1724,1542,1267,1179,1073,1135,1021,1015,941,967,883,847,933,871
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",223,"...","  Sound recording","Number of jobs",61,60,64,69,83,53,47,21,31,30,29,35,36,56,56,48
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",224,"...","  Broadcasting","Number of jobs",(D),(D),(D),(D),(D),(D),2849,2754,2630,2566,2558,2624,2670,2878,2967,2900
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",225,"...","  Other information services","Number of jobs",(D),(D),1028,1177,1184,1242,932,935,767,882,895,900,883,882,910,911
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Number of jobs",23,17,(D),(D),(D),(D),(D),(D),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",232,"...","  Printed goods manufacturing","Number of jobs",260,169,149,137,118,111,109,116,96,77,(D),53,(D),(D),(D),(D)
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",233,"...","  Musical instruments manufacturing","Number of jobs",(NA),(D),(D),(D),(D),(D),(D),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "11000","District of Columbia",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Number of jobs",5,6,6,4,4,4,5,6,5,(D),(D),(D),(D),(D),(D),(D)
