GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",12462,12486,11948,12047,11057,10961,11163,10536,9838,9168,8851,8515,8838,9029,9110,9124
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",2652,2647,2518,2576,2650,2539,2445,2428,2255,2073,2055,2031,2065,2160,2146,2107
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",372,370,304,336,354,296,194,202,181,188,232,190,186,171,189,197
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",(D),(D),9,(D),(D),(D),(D),(D),53,48,57,(D),60,46,42,94
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",(D),(D),(NA),(NA),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3,3
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",78,78,64,(D),83,76,62,63,(D),(D),(D),31,(D),(D),38,33
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",820,846,826,834,832,790,695,683,752,724,720,687,705,791,762,679
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",300,293,301,290,281,269,333,366,318,277,267,296,286,314,317,316
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",255,243,241,269,272,274,241,240,208,164,(D),105,109,108,107,(D)
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",97,102,83,106,122,132,138,117,84,77,76,97,98,88,89,85
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",50,54,64,57,58,64,68,63,47,39,36,38,36,40,43,48
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",(D),(D),(D),(D),(D),(D),69,103,57,55,53,48,(D),62,(D),(D)
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",136,129,125,134,125,111,110,107,103,97,88,86,83,74,77,79
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",69,67,74,40,47,47,49,52,51,53,57,61,64,57,(D),(D)
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",(D),231,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),100,122,122
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",(D),(D),(D),(D),(D),(D),3,3,2,2,1,1,(D),1,(D),(D)
 "10000","Delaware",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",124,104,104,115,134,(D),120,(D),(D),(D),(D),(D),(D),(D),164,(D)
