GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",290975,288906,281150,276645,272810,271860,267620,254465,236434,225932,226546,228228,229181,237120,245476,258999
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",54990,53724,54845,55717,57613,60558,61243,58416,51677,48674,49483,49943,51558,55776,57208,59086
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",6214,6072,7034,7023,6817,7106,7104,6751,6946,6987,6986,6628,6869,7247,7411,7577
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",3556,3808,3853,3867,4053,4214,4894,5351,5284,4995,4974,4861,5043,5898,6194,6505
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",599,642,643,850,801,831,899,1021,1001,929,1285,1189,1201,1696,1594,1627
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",1124,1373,1369,1646,1967,2309,2644,2380,2006,1985,1879,1913,1915,2015,2017,2035
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",4697,4750,5165,5152,5445,5620,5766,5749,5396,5231,5390,5853,6147,6291,6612,6926
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",10966,8533,8094,7947,7825,7635,7600,7452,6419,6002,5997,6448,6699,7577,7445,7529
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",6599,6496,6681,7033,7803,8545,8417,7559,5492,4591,4362,4488,4674,5129,5589,5900
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",2788,3023,3131,3311,2970,3257,3178,2611,2247,2018,2271,2313,2331,2702,2923,2992
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",2797,2732,2835,3032,3345,3562,3599,3210,2404,2115,2050,2078,2154,2370,2663,2775
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",690,1073,1067,1380,1778,2131,2138,1964,1469,1363,1248,1066,1182,1189,851,883
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",4214,4140,4202,4090,4285,4486,4400,4043,3423,3135,3148,3254,3315,3373,3510,3864
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",631,572,612,652,681,685,738,758,738,798,866,789,836,862,917,986
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",7110,7210,6857,6390,6428,6609,6108,5865,5201,4762,4955,4975,4888,5148,5208,5136
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",81,61,84,107,104,83,97,95,91,93,91,92,97,108,132,156
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",1208,1159,1109,1106,1114,1199,1268,1299,1123,1197,1260,1376,1477,1472,1548,1604
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",1716,2080,2109,2131,2197,2286,2393,2308,2437,2473,2721,2620,2730,2699,2594,2591
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",223324,222434,213938,208512,202632,198689,193532,183613,172976,166688,166648,166502,166260,169715,175887,187314
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",6128,6037,6390,6438,5505,5243,5102,4633,3750,3001,2386,2204,2101,1953,2064,2604
 "12000","Florida",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",183,182,193,174,161,173,184,155,167,158,143,174,179,193,210,233
