GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",25288,25140,24067,25439,24975,24119,24818,24393,21384,21970,21438,21813,22244,21825,22187,22742
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",5725,5740,5949,6092,6338,6362,6298,6133,5396,5116,6041,6310,6632,6707,6727,6848
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",1046,1029,1048,1100,1230,1247,1134,1061,(D),788,(D),821,931,982,991,996
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",190,217,219,242,253,248,262,261,303,265,295,246,256,250,220,258
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",(D),(D),(D),(D),69,(D),56,(D),17,13,14,(D),14,14,(D),(D)
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",101,108,111,113,121,141,152,148,132,116,123,115,114,111,100,101
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",1155,1127,1201,1217,1321,1403,1472,1374,1202,(D),2279,2420,2571,2563,2627,2684
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",(D),512,(D),(D),430,394,380,(D),(D),(D),(D),334,361,(D),374,374
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",762,847,921,824,831,869,893,905,799,743,706,691,712,730,718,702
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",115,111,119,129,149,177,174,174,156,134,108,116,114,115,111,122
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",44,55,55,60,77,86,89,75,63,63,63,64,76,78,74,75
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",(D),(D),(D),(D),(NA),(D),(D),14,8,10,10,(D),(D),(D),(D),(D)
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",158,165,178,161,201,218,205,197,171,165,146,135,130,122,137,129
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",23,25,25,27,26,29,30,30,30,31,31,32,32,33,34,33
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",1125,1024,1021,1010,957,907,861,824,696,664,723,792,(D),(D),(D),(D)
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",(D),(D),(D),(D),1,(D),(D),3,1,1,1,(D),(D),(D),(D),(D)
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",98,110,116,119,121,125,134,130,114,107,106,114,142,160,166,173
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",366,385,390,565,551,452,450,513,507,455,416,411,440,413,391,413
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",18640,18474,17209,18433,17715,16828,17568,17324,15091,16051,14607,14613,14754,14254,14560,14994
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",519,496,531,510,506,466,459,450,378,305,272,280,275,279,289,319
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",39,43,48,39,36,44,49,43,46,42,42,54,61,69,67,75
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",(D),(D),(D),(D),(D),95,(D),91,(D),91,99,(D),117,111,124,(D)
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",6754,6759,5846,6378,5678,5250,4819,5159,5000,4918,4734,4710,4716,4761,4717,4840
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",13,(D),(D),(D),(D),17,22,24,20,21,20,19,19,21,24,25
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",221,"...","  Publishing","Number of jobs",1302,1189,1230,1203,1179,1177,1171,1059,927,754,642,627,601,576,563,550
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",222,"...","  Motion pictures","Number of jobs",1878,2296,1813,2243,2198,1785,1863,1794,1420,2895,1924,1823,1933,1542,1751,1985
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",223,"...","  Sound recording","Number of jobs",26,24,30,26,27,25,27,24,27,12,12,11,14,10,12,9
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",224,"...","  Broadcasting","Number of jobs",1398,1399,(D),(D),(D),(D),1884,1803,1713,1687,1667,1711,1768,1835,1859,1838
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",225,"...","  Other information services","Number of jobs",35,31,92,98,101,97,70,60,54,57,65,68,60,58,59,58
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Number of jobs",408,377,389,405,419,395,373,333,275,287,275,268,277,268,226,240
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",232,"...","  Printed goods manufacturing","Number of jobs",310,278,281,299,273,264,268,(D),(D),(D),(D),(D),179,173,161,163
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",233,"...","  Musical instruments manufacturing","Number of jobs",37,(D),(D),(D),(D),(D),(D),48,41,40,41,47,52,(D),(D),49
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Number of jobs",12,19,20,21,28,(D),(D),39,(D),34,35,(D),(D),44,49,(D)
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Number of jobs",(D),0,0,(D),(D),(D),0,(D),1,(D),1,(D),(D),(D),(D),(D)
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",236,"...","  Other goods manufacturing","Number of jobs",20,(D),(D),(D),(D),(D),18,18,9,5,(D),(D),6,12,12,11
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",240,"...","  Construction","Number of jobs",1158,862,862,856,765,605,1778,1596,776,833,575,563,507,488,631,839
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",250,"...","  Wholesale and transportation industries","Number of jobs",769,854,825,878,911,915,951,1000,854,920,1030,1118,1123,1064,1133,1175
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",260,"...","  Retail industries","Number of jobs",3862,3702,3678,3841,3841,3776,3637,3538,3212,2973,2977,2981,3003,2896,2839,2659
 "15000","Hawaii",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",300,"..."," All other industries 2/","Number of jobs",923,926,909,914,922,929,952,936,897,803,790,890,858,864,900,900
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
