GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",115260,112602,110023,108993,106270,103263,99626,97832,92561,91581,90795,92849,93816,93948,95919,95956
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",16294,15962,15806,15683,15772,15603,15424,15302,14036,13759,13836,(D),(D),(D),(D),(D)
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",1945,1976,2008,1635,1645,1683,1633,1597,1497,1488,1670,1649,1568,1694,1552,1619
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",738,704,564,782,851,782,800,758,705,659,729,798,853,920,1012,1105
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",130,137,144,125,163,76,89,81,70,75,65,53,52,51,54,68
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",220,227,322,296,294,287,326,293,292,262,277,284,325,278,288,315
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",1646,1682,1767,1780,1833,1859,1933,1909,1870,1822,1826,1832,1816,1943,1966,2017
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",1819,1789,1684,1743,1699,1646,1623,1606,1491,1460,1552,1621,1631,1859,1964,2050
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",1757,1670,1663,1656,1632,1645,1699,1667,1393,1284,1257,1225,1111,1120,1198,1254
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",174,150,167,168,179,199,190,180,188,210,217,179,171,174,160,154
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",303,295,305,329,328,352,330,312,264,234,225,235,234,234,242,244
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",209,206,206,239,280,338,364,372,393,423,432,349,386,348,376,368
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",1116,1160,1123,1049,1077,1010,1005,992,889,880,849,821,810,839,855,840
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",141,132,135,127,125,133,153,164,161,174,192,193,207,218,239,262
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",4102,3767,3714,3435,3084,3004,2798,2613,2302,2133,1931,(D),(D),(D),(D),(D)
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",13,10,9,8,10,12,9,8,6,6,7,6,6,6,6,8
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",385,399,420,463,467,459,438,469,473,499,515,558,607,699,733,734
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",1596,1658,1575,1848,2105,2118,2034,2281,2042,2150,2092,2117,2002,1811,1826,1886
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",93763,91469,89264,88431,85668,82879,79339,77744,74019,73735,72918,74425,75997,75814,77244,77088
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",2839,2737,2864,2653,2350,2123,2046,1829,1647,1351,898,836,761,744,774,834
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",79,79,79,72,69,77,82,72,79,73,76,90,93,106,104,100
 "18000","Indiana",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",563,456,468,442,431,439,378,405,416,355,402,411,470,453,486,462
