GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",62933,62953,60574,58660,56057,54859,54759,54327,51589,48189,46562,45568,45311,45643,46007,45534
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",7493,7601,7732,7823,7662,7450,7354,7351,6988,6655,6632,6632,6605,6866,7082,6988
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",681,736,685,704,645,594,624,633,611,621,618,585,579,652,626,609
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",411,421,471,515,462,582,448,409,518,526,635,638,592,640,637,682
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",59,56,58,72,80,72,50,73,56,60,58,45,31,37,40,47
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",122,125,110,96,138,151,194,182,186,143,121,119,93,82,78,83
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",554,541,557,586,577,588,596,614,580,584,606,620,685,713,(D),729
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",1398,1431,1266,1375,1321,1326,1353,1304,1157,1075,1145,1208,1192,1102,1061,1021
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",987,949,950,1002,1011,1109,1119,1131,1015,932,886,868,882,913,961,1013
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",204,205,228,214,262,295,296,282,315,274,135,81,80,90,94,70
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",100,108,107,132,141,151,171,163,140,141,167,162,121,125,129,126
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",164,145,166,165,188,131,79,72,53,106,144,188,246,318,404,274
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",506,493,473,486,465,464,464,457,387,318,349,363,397,451,497,510
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",93,79,67,72,76,80,84,93,95,101,109,116,116,116,(D),(D)
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",1384,1299,1573,1500,1329,990,891,854,811,750,678,640,578,520,523,(D)
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",1,8,11,3,7,4,6,15,15,12,15,9,9,9,18,19
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",217,278,294,293,297,327,340,377,376,393,416,430,483,521,499,512
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",612,727,716,608,663,586,639,692,673,619,550,560,521,577,619,602
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",53207,53133,50736,48759,46334,45349,45265,44820,42523,39683,38118,36909,36771,36828,36896,36535
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",1080,999,1015,999,891,876,817,720,643,537,428,347,358,431,489,471
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",32,35,34,27,28,33,37,32,37,37,36,44,42,45,46,49
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",139,146,147,145,149,151,141,152,147,132,146,154,178,172,182,177
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",23717,23832,22475,20649,19131,17572,16164,16645,16570,15740,15085,14584,14713,14693,14744,14595
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",(D),(D),(D),46,(D),(D),(D),(D),34,33,32,17,14,17,16,16
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",221,"...","  Publishing","Number of jobs",5451,3938,3918,3709,3669,3625,3641,3522,3111,2961,2899,2837,2615,2537,2371,2209
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",222,"...","  Motion pictures","Number of jobs",1798,2219,2032,1953,1883,1746,1786,1763,1819,1855,1820,1781,1769,1748,1753,1822
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",223,"...","  Sound recording","Number of jobs",28,22,20,16,17,10,(D),(D),9,13,9,8,9,17,25,34
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",224,"...","  Broadcasting","Number of jobs",8256,8869,9101,9095,8735,9639,10813,10252,8835,7352,7123,7116,7235,7269,7241,7130
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",225,"...","  Other information services","Number of jobs",125,(D),137,143,140,134,86,97,88,75,83,82,107,173,(D),225
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Number of jobs",9,20,10,(D),(D),(D),21,25,18,25,(D),(D),(D),28,(D),(D)
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",232,"...","  Printed goods manufacturing","Number of jobs",(D),(D),(D),2317,(D),2276,2373,2182,(D),(D),(D),(D),(D),1488,1443,1425
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",233,"...","  Musical instruments manufacturing","Number of jobs",59,61,62,(D),52,49,52,56,54,(D),(D),(D),(D),(D),(D),46
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Number of jobs",(D),177,148,153,153,160,220,219,162,126,133,141,155,160,182,185
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Number of jobs",(D),(D),(D),8,(D),(D),19,15,(D),14,15,2,2,3,1,1
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",236,"...","  Other goods manufacturing","Number of jobs",(D),(D),121,129,98,87,89,102,81,36,(D),(D),(D),(D),(D),(D)
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",240,"...","  Construction","Number of jobs",1215,1247,1128,964,1039,1168,985,1218,865,1225,1292,889,482,723,977,870
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",250,"...","  Wholesale and transportation industries","Number of jobs",1331,1564,1321,1270,1230,1251,1332,1169,951,897,927,1065,1070,1164,1110,(D)
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",260,"...","  Retail industries","Number of jobs",7667,(D),(D),(D),(D),(D),6638,6605,7042,6649,6308,6204,6404,6073,6023,6109
 "20000","Kansas",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",300,"..."," All other industries 2/","Number of jobs",2233,2219,2106,2078,2061,2060,2140,2156,2078,1851,1812,2027,1935,1949,2029,2011
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
