GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",66586,64556,64058,62908,61087,60571,60752,58443,57550,54953,52503,52819,52466,51589,51310,52978
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",7694,7487,7515,7292,7375,7597,8086,8193,7752,7456,7340,7648,7564,(D),7548,7822
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",717,691,695,689,677,694,702,696,612,613,612,(D),(D),700,(D),(D)
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",258,299,341,353,357,469,844,903,1090,995,902,973,1034,976,948,881
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",157,51,49,47,46,48,57,55,47,51,41,43,33,42,45,23
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",100,153,149,149,114,135,140,141,142,131,129,158,151,176,193,201
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",848,844,864,934,921,943,984,997,979,1013,(D),1258,1275,1341,1411,1604
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",1333,1241,1108,1047,1085,1043,1052,1134,1086,1029,983,1007,985,1073,1030,1038
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",858,735,718,723,721,751,786,805,690,633,586,574,578,565,570,600
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",157,161,160,154,117,127,98,114,101,93,89,99,87,85,95,108
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",113,101,102,111,115,145,134,141,133,125,120,119,124,128,134,141
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",104,108,96,123,232,257,235,219,173,139,150,143,112,144,144,151
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",623,635,630,537,549,524,524,520,489,455,495,502,517,553,482,508
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",73,69,73,79,83,89,108,123,124,125,132,126,136,134,139,143
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",1233,1212,1274,1258,1261,1246,1216,1089,968,909,(D),(D),(D),(D),(D),(D)
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",9,8,7,7,8,7,9,9,5,3,3,3,2,2,2,3
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",212,207,229,257,254,269,276,298,277,276,293,320,340,312,316,334
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",899,972,1020,824,835,850,921,949,836,866,932,960,937,894,867,864
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",55838,54016,53610,52720,50820,50088,49711,47323,47006,44976,42682,42374,42235,41197,40946,42330
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",1527,1449,1523,1496,1376,1245,1168,991,823,631,495,427,371,347,352,(D)
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",19,20,21,19,18,21,23,21,22,18,18,22,20,21,23,27
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",236,195,199,186,189,193,180,183,201,172,188,201,242,240,251,241
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",26816,26149,25154,23361,21915,21034,20157,18789,19830,19282,17610,17776,17728,17414,17202,17589
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",30,20,18,19,21,20,19,20,18,17,17,17,19,20,20,(D)
 "21000","Kentucky",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",221,"...","  Publishing","Number of jobs",3552,3382,3124,3050,3047,3009,3444,3213,2746,2567,2645,2526,2392,2215,2070,1990
