GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",104297,103573,101749,100743,97707,93313,92702,89802,83040,80459,78765,78705,78428,80677,81160,79266
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",20034,19770,19797,19853,19655,18715,18678,18668,17144,16312,16499,17224,17178,(D),(D),16973
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",1567,1542,1632,1756,1730,1910,2037,2006,1731,1807,1616,1803,1723,1864,1813,1722
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",1290,1401,1334,1827,1666,957,1017,1163,1155,1120,1310,1269,1234,1200,1215,1369
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",135,116,114,122,135,152,143,160,310,209,188,343,312,181,169,116
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",307,328,361,353,370,380,361,344,339,339,445,475,483,505,511,520
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",1652,1687,1594,1595,1696,1722,1687,1638,1570,1483,1472,1484,1543,1522,1508,1547
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",3097,2779,2613,2398,2185,2014,1956,1921,1782,1697,1727,1767,1664,1892,1862,1830
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",2344,2434,2411,2525,2621,2738,2843,2845,2451,2100,2008,2014,2103,2197,2275,2247
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",917,780,681,644,627,665,576,534,460,530,499,543,471,471,518,484
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",447,448,468,504,560,552,538,498,429,399,423,463,505,516,448,492
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",438,398,368,322,309,315,297,243,200,184,183,180,198,210,253,290
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",1942,1686,1666,1602,1646,1700,1729,1737,1533,1507,1486,1540,1571,1589,1350,1353
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",553,538,562,559,558,566,574,590,571,594,603,605,599,584,605,599
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",3646,3329,3398,3116,2760,2681,2603,2608,2358,2256,2207,2270,2322,(D),(D),1716
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",50,47,40,43,53,59,51,52,56,36,40,43,32,36,53,43
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",445,505,558,618,633,697,747,813,772,772,821,868,907,964,1009,1197
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",1204,1752,1997,1869,2106,1607,1519,1516,1427,1279,1471,1557,1511,1669,1345,1448
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",80370,79864,78143,77123,74303,70866,70219,67352,62207,60826,59015,57835,57787,59361,60198,58667
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",2099,1886,1908,1855,1564,1289,1191,1010,826,592,471,451,503,482,471,754
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",102,119,142,113,110,131,144,135,143,126,120,157,163,172,168,181
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",522,455,480,460,453,471,419,489,557,490,556,607,731,709,729,709
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",30127,30034,28437,26392,24360,21859,20076,20678,20594,19910,20344,20099,20271,20279,19614,19414
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",81,51,43,51,45,42,40,45,33,35,38,37,47,55,57,54
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",221,"...","  Publishing","Number of jobs",6193,6186,6150,5905,5881,5867,5989,5696,4932,4419,4415,4486,4416,4212,4169,4461
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",222,"...","  Motion pictures","Number of jobs",3324,3643,3789,4170,4261,4228,4545,4440,3882,4106,3816,3647,3340,3096,3593,3662
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",223,"...","  Sound recording","Number of jobs",210,268,270,271,267,253,266,251,191,174,172,196,172,188,211,227
 "24000","Maryland",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",224,"...","  Broadcasting","Number of jobs",6943,6562,6781,6891,7343,8110,8924,8840,8338,8112,7349,7142,7022,7325,7204,6930
