GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",168982,164528,156230,151768,146369,140408,135323,131494,123131,119994,120704,121142,122206,122594,128554,130040
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",31383,29857,29885,30215,29382,29186,29255,28829,26063,25151,25839,26258,27459,27396,32601,33451
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",2073,1778,1695,1615,1619,1668,1679,1596,1547,1628,1598,1609,1624,1743,1736,1841
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",3086,2533,2707,2593,2517,2570,2423,2435,2281,2119,2073,1944,2061,2102,1993,2014
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",448,522,549,531,487,462,442,400,363,384,359,343,327,296,258,226
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",668,674,611,569,544,558,669,639,615,684,672,649,685,771,722,645
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",2801,2755,2766,3157,3278,3247,3471,3443,3402,3300,3343,3289,3377,3517,3768,3854
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",6283,5987,5728,5534,5120,4622,4295,4316,3812,3733,3863,3949,4135,4222,4144,4148
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",3126,2981,3135,3122,2984,2911,2836,2687,2129,1849,1815,1878,1870,2039,2191,2304
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",885,847,821,782,718,697,686,660,621,473,385,425,503,523,474,468
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",412,418,436,485,510,479,502,525,396,455,442,459,480,477,468,486
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",2737,2644,2698,2816,3012,3522,3957,4047,3726,3755,4445,4614,5349,4774,10235,10821
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",2235,2160,2175,2131,2029,2016,1922,1724,1493,1470,1584,1676,1709,1640,1536,1495
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",348,311,304,308,319,333,366,381,359,367,377,390,419,446,493,509
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",4371,4101,3925,3755,3493,3334,3066,2908,2402,2175,2161,2199,1947,1666,1542,1513
 "26000","Michigan",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",18,18,17,19,20,20,15,11,13,14,15,15,25,28,36,45
