GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",123930,121145,116796,114252,110824,109166,108381,106938,101321,98283,96463,96091,96447,98685,98166,99143
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",(D),24188,23621,23289,23478,23648,23971,23937,21866,20774,20738,20087,19924,20854,21191,21666
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",3314,3412,3320,3183,2978,3111,3103,3079,2923,2891,2817,2719,2572,2881,2983,3077
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",646,864,1095,1129,1207,1311,1757,1783,1710,1761,1795,1708,1840,2024,1977,2286
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",316,309,112,112,155,175,167,162,200,280,318,342,376,389,379,404
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",458,483,483,505,521,463,482,493,478,482,481,462,471,480,466,372
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",2187,2073,2004,1966,2054,2249,2340,2400,2344,2302,2297,2347,2390,2478,2509,2443
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",4972,4607,4343,4106,4010,3705,3557,3572,3225,3085,3312,3440,3419,3686,3766,3678
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",3246,2837,2717,2713,2763,2986,3051,2990,2401,2106,2117,2093,2009,2094,2242,2382
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",309,303,272,261,243,240,216,206,157,126,123,114,110,121,126,127
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",276,276,254,282,285,301,307,276,228,207,203,202,221,238,245,255
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",176,128,160,233,341,330,295,289,285,92,99,76,84,56,62,62
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",2223,1873,1774,1729,1618,1678,1617,1586,1423,1378,1322,1311,1314,1281,1326,1295
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",(D),279,267,279,281,304,341,351,331,352,393,423,444,430,452,455
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",4200,4128,3867,3580,3421,3327,3129,3157,2791,2468,2251,1919,1694,1617,1627,1617
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",12,12,8,5,5,8,12,13,13,14,16,23,27,28,32,36
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",852,861,911,959,1042,1099,1073,1167,1029,1033,1063,1061,1126,1169,1248,1286
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",1256,1743,2034,2247,2554,2361,2524,2413,2328,2197,2131,1847,1827,1882,1751,1891
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",94549,92353,88749,86600,83000,81185,79972,78575,75186,73669,71932,71757,72454,73749,72717,73206
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",2181,2008,2068,2040,(D),(D),1423,(D),(D),758,612,566,509,460,434,488
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",108,110,109,96,94,106,86,80,80,76,77,94,92,107,111,113
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",537,442,426,403,424,435,373,409,469,416,463,498,550,533,586,547
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",36901,37207,34553,31926,29788,27587,25283,25826,25196,24593,23938,23779,23833,23596,23778,23812
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",55,33,34,31,31,22,18,17,16,15,14,14,15,21,21,15
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",221,"...","  Publishing","Number of jobs",12779,12011,12111,11695,11753,11712,12261,12052,11066,10525,10228,10051,9885,9536,9262,8762
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",222,"...","  Motion pictures","Number of jobs",5123,4991,4833,4647,4482,4300,4193,4080,3993,3845,3948,4086,3557,3534,3688,3870
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",223,"...","  Sound recording","Number of jobs",(D),324,320,(D),318,(D),(D),(D),253,(D),241,(D),(D),(D),(D),(D)
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",224,"...","  Broadcasting","Number of jobs",5379,5471,5596,5933,6116,6127,6635,6640,6483,6418,6392,6699,6677,6781,6835,6937
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",225,"...","  Other information services","Number of jobs",384,280,285,343,368,408,305,304,279,284,275,302,299,293,277,293
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Number of jobs",665,626,662,643,634,621,583,610,621,599,482,502,498,496,497,530
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",232,"...","  Printed goods manufacturing","Number of jobs",7637,6935,6869,7136,7129,7057,7358,6923,6007,5345,5142,4781,4785,4813,4552,4572
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",233,"...","  Musical instruments manufacturing","Number of jobs",56,59,57,54,53,48,41,40,(D),(D),36,43,37,37,38,47
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Number of jobs",293,423,440,451,430,446,628,650,529,513,(D),623,669,714,675,613
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Number of jobs",84,88,72,69,59,43,51,48,37,35,37,7,6,9,4,3
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",236,"...","  Other goods manufacturing","Number of jobs",860,715,663,(D),(D),707,(D),792,586,528,(D),(D),(D),(D),(D),(D)
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",240,"...","  Construction","Number of jobs",2706,2542,2320,2708,1807,2211,1977,1615,2124,2998,1901,1685,2778,4108,3070,3495
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",250,"...","  Wholesale and transportation industries","Number of jobs",3317,3215,2711,2785,2600,2640,2924,2911,2777,2853,3106,3312,3393,3176,3696,3871
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",260,"...","  Retail industries","Number of jobs",(D),14873,14620,14641,14478,14866,14801,14113,13603,13604,13903,13922,13967,14531,14149,14103
 "27000","Minnesota",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",300,"..."," All other industries 2/","Number of jobs",(D),4604,4426,4363,4346,4333,4438,4426,4269,3840,3793,4247,4069,4082,4258,4271
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
