GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",116680,115639,112295,110828,106953,106338,107848,105570,98534,93821,91956,92063,92879,92424,93664,93828
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",23873,22358,22122,22129,21945,22106,22505,22423,20573,19385,(D),(D),(D),(D),(D),(D)
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",3219,3046,2877,2684,2751,2814,2973,2988,2796,2723,2674,2790,2596,2498,2518,2690
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",1862,1878,1824,1976,2063,2065,1988,2149,2115,2085,1750,1811,2090,2327,2077,1984
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",329,351,349,300,222,220,180,201,174,176,175,169,176,196,167,132
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",405,383,380,442,525,514,587,491,404,374,383,363,392,420,390,440
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",1699,1754,1715,1989,1970,2150,2395,2365,2373,2245,2220,2265,2317,2400,2427,2531
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",3606,3312,3183,3138,2956,2798,2697,2685,2392,2312,2432,2564,2584,2850,2878,2922
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",2789,2724,2655,2653,2645,2798,2981,3132,2657,2296,2168,2218,2336,2285,2416,2456
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",319,262,212,207,217,286,296,283,246,235,183,191,201,220,259,307
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",245,212,182,194,254,304,292,313,240,208,206,237,257,273,284,310
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",92,96,67,72,109,85,83,94,94,98,103,114,122,128,126,145
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",1448,1255,1225,1292,1243,1280,1306,1149,1153,1036,1053,1057,1126,1215,1321,1384
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",195,170,165,173,176,188,205,219,206,215,238,269,287,295,316,322
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",5234,4631,4827,4533,4269,3940,3835,3787,3277,2996,(D),(D),(D),(D),(D),(D)
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",15,14,14,10,11,13,17,19,20,17,16,20,19,18,16,18
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",547,531,574,616,613,630,636,670,625,632,650,740,848,911,975,1016
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",1869,1739,1873,1850,1921,2021,2034,1878,1801,1737,1901,1981,1800,1561,1591,1536
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",88219,88683,85756,84367,80696,79932,80951,78765,73736,70652,69178,68182,69161,68384,69392,69127
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",2324,2270,2470,2520,2332,2146,2133,1836,1633,1381,1184,1133,1068,1000,954,955
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",72,67,71,61,56,63,69,62,61,56,54,68,80,80,78,76
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",442,381,389,379,354,366,322,355,373,329,360,373,425,403,428,389
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",33743,35035,33879,32647,31117,29572,28127,27953,27532,27240,27081,26449,26932,26832,26785,26937
 "29000","Missouri",4,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",196,136,140,158,133,165,165,82,94,108,103,101,105,110,113,123
