GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "37000","North Carolina",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",142292,140443,133618,129345,122602,121256,120605,120073,112056,108271,107900,109168,110633,113494,118249,120081
 "37000","North Carolina",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",23025,22925,21862,22347,21948,23586,24145,23829,21696,21030,20779,21234,21895,22819,24176,24354
 "37000","North Carolina",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",3135,2774,2205,1798,1061,1157,1207,1286,1188,1162,1149,1163,1147,1161,1207,1182
 "37000","North Carolina",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",816,835,717,965,1001,1094,1168,1300,1334,1306,1376,1660,1851,2111,2352,2420
 "37000","North Carolina",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",191,364,260,255,292,395,332,264,330,362,319,327,333,367,372,427
 "37000","North Carolina",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",327,384,438,437,455,581,755,616,638,681,727,860,887,876,811,642
 "37000","North Carolina",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",1934,2077,2091,2180,2225,2417,2816,2943,2793,2816,(D),(D),(D),(D),2898,3144
 "37000","North Carolina",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",2635,2610,2498,2506,2469,2486,2376,2414,2041,1950,1961,2133,2184,2541,2655,2978
 "37000","North Carolina",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",2929,2851,2870,2936,3031,3230,3474,3566,2847,2448,2288,2244,2242,2300,2448,2617
 "37000","North Carolina",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",1150,1133,1115,1035,1063,1358,1697,1390,1114,1061,1087,1127,1263,1471,1646,953
