GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",26448,26168,24767,24399,23460,22929,22194,21633,20688,20239,20049,20201,20341,20040,20670,21580
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",4257,4257,4036,4061,4106,4143,4122,3995,3746,3710,3710,3787,3849,3778,4018,4314
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",346,339,(D),396,397,446,413,(D),(D),408,(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",99,123,160,207,216,233,222,149,171,152,135,152,188,192,278,304
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",111,25,21,18,23,17,17,19,17,19,18,21,15,17,21,27
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",56,50,45,41,49,46,61,68,86,82,75,82,88,82,77,73
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",490,497,529,(D),505,486,498,514,499,508,516,516,548,526,505,503
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",450,409,385,(D),(D),401,438,434,402,(D),407,438,464,493,498,487
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",311,311,304,303,311,330,313,314,265,241,235,226,232,247,266,271
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",55,63,80,136,149,151,161,94,98,75,76,79,82,86,94,96
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",32,44,40,33,35,33,33,33,23,20,21,23,24,29,33,34
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",178,181,158,137,163,151,156,131,122,143,136,147,138,136,138,157
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",417,353,328,324,337,295,304,286,255,262,262,268,283,220,272,290
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",82,61,57,64,(D),(D),(D),(D),(D),(D),(D),(D),74,79,83,86
 "33000","New Hampshire",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",523,511,447,435,(D),(D),(D),409,347,(D),315,337,(D),(D),(D),(D)
