GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "32000","Nevada",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",44373,45034,41543,42738,42447,43488,45638,44925,38808,37363,37188,37923,38827,40378,39257,41308
 "32000","Nevada",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",7367,7440,8085,8274,8762,9472,9980,9810,8244,7838,8022,8128,8121,8784,8871,9145
 "32000","Nevada",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",1757,1688,1910,1853,2027,2232,2819,2692,2423,2374,2432,2319,2138,2360,2228,2179
 "32000","Nevada",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",272,294,421,483,483,516,586,713,648,667,710,880,983,1079,1082,1254
 "32000","Nevada",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",233,398,414,422,413,425,163,153,90,78,74,82,92,103,116,125
 "32000","Nevada",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",437,405,551,514,600,660,655,525,535,628,718,785,806,920,805,834
 "32000","Nevada",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",226,318,313,344,342,351,362,372,(D),(D),(D),(D),(D),(D),(D),(D)
 "32000","Nevada",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",1048,1010,1002,998,995,1105,1157,1166,960,941,938,939,905,883,883,865
 "32000","Nevada",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",838,800,855,962,1090,1224,1312,1298,857,631,594,589,591,641,668,685
 "32000","Nevada",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",70,58,105,127,136,79,74,61,44,38,36,27,24,27,30,36
