GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",502936,498473,468754,463673,459314,454989,455048,460207,433483,436008,437751,443421,453522,461092,462642,466926
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",121720,113076,110967,113574,113135,116038,121096,126774,116886,113780,117602,123100,129259,134987,138499,140996
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",16784,16314,16286,17000,16851,16784,17509,18378,16628,16833,16676,17114,17062,17466,17623,17782
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",8900,8980,8938,9589,9454,9717,9959,10567,10437,9739,9663,10613,12127,13118,12457,12958
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",3799,3584,3652,3780,3940,4149,4367,4485,4366,4404,4586,4741,4670,4851,4993,5066
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",3043,3080,3033,3212,3410,3402,3581,3962,3726,3303,3428,3681,3968,3967,4115,4134
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",13164,12790,12891,13519,13550,13984,14832,15468,14908,14343,14481,14812,15345,16434,16706,17045
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",26899,23852,22309,21872,20860,20706,20284,21085,19794,19839,21265,22973,24018,25285,26429,26449
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",11151,10617,10239,10641,11406,12184,13180,13827,11539,10848,11090,11535,12155,13035,13880,14297
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",1145,1295,1320,1358,1317,1353,1497,1549,1320,1091,1148,1169,1202,1265,1285,1204
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",1959,1823,1799,1922,2212,2430,2703,2752,2185,2009,2010,2143,2303,2473,2640,2730
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",1691,1267,1236,1315,1484,1575,1614,1809,1581,1636,1458,1524,1651,1820,2072,2211
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",9396,7652,7333,7243,7206,7605,8202,8416,7310,6873,7218,7281,7400,7092,7285,7404
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",801,652,632,678,696,773,848,907,887,959,1059,1166,1212,1256,1319,1331
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",11981,11267,10752,10409,9838,9378,9098,8662,7600,6867,6966,6387,6367,6277,6337,6037
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",363,317,350,361,380,396,461,549,505,499,501,582,658,666,708,685
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",3304,3475,3715,3947,4020,4243,4351,4798,4801,5085,5343,5610,6194,6626,6998,7243
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",7340,6111,6482,6728,6511,7359,8610,9560,9299,9452,10710,11769,12927,13356,13652,14420
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",367391,371714,344646,337175,333384,326244,320881,320320,303841,310702,308764,307570,312086,313793,311271,313018
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",5589,5166,5366,5493,4929,4217,3879,3446,2869,2526,2270,2054,1968,2035,2168,2341
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",607,611,648,534,526,610,636,567,617,553,573,711,723,740,781,804
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",1502,1304,1368,1347,1353,1405,1284,1389,1503,1350,1497,1637,1905,1865,2033,1981
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",117798,(D),120700,112721,107131,100984,(D),93528,(D),91859,89387,87841,89362,90249,89880,90574
 "36000","New York",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",263,160,147,156,175,173,184,176,166,161,160,150,168,160,165,157
