GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",206470,204288,199062,197012,192231,188654,188534,185407,175666,169266,169284,170869,172733,172263,174013,179124
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",39573,38150,38141,37709,37597,37609,38372,38044,35521,34250,34585,35035,35736,36965,(D),(D)
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",3315,3281,3105,3226,3044,3037,3220,2897,2628,2582,2449,2283,2316,2478,2452,2407
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",3301,3466,3454,3387,3557,3450,3795,3461,3397,3154,3248,3482,3701,3908,4089,4170
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",295,280,267,112,153,413,366,370,355,370,383,348,182,174,169,136
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",757,726,735,743,651,593,601,591,593,610,591,616,646,729,739,866
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",5424,5463,5480,5150,5053,5050,5292,5337,5244,5085,5204,5421,5576,6275,6516,6610
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",5559,5288,5131,5074,5009,4653,4705,4878,4483,4261,4428,4498,4329,4091,4135,4177
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",4260,4138,4220,4277,4218,4302,4359,4267,3609,3305,3199,3134,3179,3254,3430,3586
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",346,333,379,296,300,313,296,288,264,223,248,289,313,308,283,302
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",506,455,475,493,555,582,631,642,552,525,561,600,629,574,644,699
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",735,816,827,893,1060,(D),1355,1546,1397,1679,1717,1741,2610,3300,3479,3655
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",3856,3565,3348,3287,3280,3346,3323,3257,2954,2882,3007,2960,2973,2903,2867,2729
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",592,542,554,530,553,603,667,714,716,741,747,685,695,694,706,730
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",6724,6157,5785,5355,4962,4920,4403,4242,3727,3354,3160,3318,3038,2753,(D),(D)
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",20,22,24,96,128,(D),165,191,176,160,180,187,203,192,187,198
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",912,934,1087,1169,1172,1197,1180,1230,1212,1224,1332,1374,1495,1624,1698,1759
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",2971,2684,3270,3621,3902,3748,4014,4133,4214,4095,4131,4099,3851,3708,3697,3686
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",157088,156460,151691,150271,145736,142276,141285,138615,131897,127617,127423,127633,129167,127417,128151,132809
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",4523,4359,4392,4240,3887,3554,3325,2914,2560,2042,1580,1392,1331,1337,1334,1401
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",150,149,150,126,118,132,140,122,123,112,116,148,148,154,158,162
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",1282,1074,1061,1030,967,959,852,916,949,820,896,919,1031,981,1045,1022
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",57020,58852,56996,56254,55567,53565,50736,50461,48658,46319,46403,47951,48108,48359,48745,49316
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",158,95,84,89,80,79,73,67,59,54,52,47,47,49,60,56
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",221,"...","  Publishing","Number of jobs",15806,14919,15207,14608,14300,14126,14060,14260,13013,12549,12243,12015,11464,10621,10437,10098
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",222,"...","  Motion pictures","Number of jobs",7257,6718,6390,6190,6085,5903,5937,5574,5375,5200,4922,4913,5130,5397,5720,5871
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",223,"...","  Sound recording","Number of jobs",(D),169,199,(D),(D),(D),(D),(D),(D),(D),155,155,160,(D),(D),(D)
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",224,"...","  Broadcasting","Number of jobs",10369,10942,11119,11635,11955,12657,13702,13435,12681,12406,12215,12109,12280,12320,12462,12512
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",225,"...","  Other information services","Number of jobs",2422,2363,2315,2312,2168,2159,1768,1629,1508,1490,1493,1499,1504,1387,1379,1400
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Number of jobs",611,485,464,462,447,471,374,351,269,243,253,275,237,293,277,222
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",232,"...","  Printed goods manufacturing","Number of jobs",8644,7385,6939,7004,6819,6542,6899,6525,5650,5204,4946,4595,4441,4437,4363,4482
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",233,"...","  Musical instruments manufacturing","Number of jobs",599,597,539,511,489,506,483,491,458,404,367,370,391,396,399,439
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Number of jobs",1075,1553,1543,1527,1520,1524,2273,2325,1911,1798,1836,1856,1932,2068,2363,2413
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Number of jobs",(D),104,84,(D),(D),(D),(D),(D),(D),(D),23,3,4,(D),(D),(D)
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",236,"...","  Other goods manufacturing","Number of jobs",4220,3631,3304,3043,2702,2494,2570,2304,1895,1891,1997,1845,1740,1818,1797,2436
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",240,"...","  Construction","Number of jobs",4862,4670,4344,5364,4245,3584,3826,3611,2580,3092,4162,3367,3361,3497,3856,4395
 "39000","Ohio",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",250,"...","  Wholesale and transportation industries","Number of jobs",7924,8480,7769,7474,6831,6569,6636,6624,5380,5322,5327,5383,5741,5321,5075,4976
