GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "41000","Oregon",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",75974,73805,72376,69198,67241,67040,67740,68134,64164,61999,61905,62187,63618,64890,66239,67225
 "41000","Oregon",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",11687,11550,11870,11932,11986,12517,12992,13253,11908,11821,12218,12699,13103,13823,14376,14739
 "41000","Oregon",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",1386,1377,1353,1432,1562,1619,1598,1679,1543,1546,1687,1729,1783,1868,1822,1920
 "41000","Oregon",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",670,547,542,448,495,506,598,563,515,598,588,570,588,636,720,830
 "41000","Oregon",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",49,40,41,56,54,54,50,58,64,73,57,55,62,79,82,79
 "41000","Oregon",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",223,255,242,246,281,328,334,358,316,350,314,312,333,358,394,448
 "41000","Oregon",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",1224,1210,1225,1252,1221,1272,1326,1348,1274,1267,1374,1427,1481,1464,1482,1515
 "41000","Oregon",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",1901,1678,1569,1584,1495,1558,1539,1608,1505,1496,1546,1622,1668,1871,1862,1881
 "41000","Oregon",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",1597,1575,1584,1658,1824,2076,2235,2167,1668,1469,1449,1445,1491,1630,1821,1974
 "41000","Oregon",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",260,250,217,221,235,283,323,319,268,244,252,250,253,262,302,320
 "41000","Oregon",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",141,151,164,181,202,220,254,278,217,197,200,228,231,232,280,310
