GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",227553,224365,216777,208530,202458,198775,195706,195793,184779,174228,171324,169381,170129,170410,172777,175572
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",46213,46301,45514,45063,45592,46101,46252,46515,43801,41757,41804,41921,43052,44851,45984,47503
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",5351,5298,5006,4857,4855,4556,4570,4463,4059,3812,3562,3567,3731,3918,3913,4047
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",2106,2298,2784,2574,3119,3563,3748,4121,4210,3905,4204,4156,4518,4512,4528,4561
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",287,293,275,289,330,294,276,259,239,248,214,228,176,200,230,249
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",764,750,789,839,942,999,1008,984,972,767,814,780,771,788,830,852
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",4499,4491,4684,4875,4994,5237,5781,5986,5888,5680,5931,6157,6330,6469,6550,6587
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",7189,6824,6495,6286,5960,5644,5493,5493,4744,4468,4485,4717,4674,5213,5307,5612
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",4818,4744,4687,4750,4814,5131,5330,5316,4459,3900,3632,3490,3527,3599,3798,3958
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",1225,1364,1176,1303,1246,1182,1046,1035,901,832,797,752,734,721,686,747
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",409,389,428,487,511,538,591,558,450,403,412,418,435,454,493,518
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",628,922,859,1010,972,979,925,955,1178,1372,1557,1648,1815,1833,1670,1398
 "42000","Pennsylvania",2,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",3560,3405,3344,2791,2712,2764,2640,2551,2367,2232,2050,1846,1856,1869,1896,1978
