GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "44000","Rhode Island",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",28349,27348,26601,25384,24147,23805,22991,22321,19326,18932,18809,18214,18205,17968,17725,17750
 "44000","Rhode Island",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",4156,4382,4480,4623,4368,4392,4425,4658,3811,3759,3818,3841,4039,4103,4086,4352
 "44000","Rhode Island",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",622,675,673,723,727,704,711,722,713,622,591,582,670,667,615,602
 "44000","Rhode Island",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",62,71,77,85,96,99,(D),95,124,142,102,104,175,142,136,152
 "44000","Rhode Island",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",16,(D),(D),8,(D),(D),(D),(D),(D),(D),(D),15,19,18,(D),(D)
 "44000","Rhode Island",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",87,97,93,81,82,89,85,70,63,44,44,44,48,67,79,90
 "44000","Rhode Island",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",709,679,689,(D),665,678,770,745,678,675,657,676,(D),(D),752,850
 "44000","Rhode Island",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",379,358,348,338,315,299,271,259,249,236,239,253,260,292,306,309
 "44000","Rhode Island",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",296,(D),341,345,361,386,398,368,305,281,(D),257,253,259,279,(D)
 "44000","Rhode Island",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",35,(D),36,40,52,56,67,75,67,61,55,45,(D),(D),50,62
 "44000","Rhode Island",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",66,(D),78,89,(D),(D),70,67,(D),(D),(D),47,52,60,75,82
