GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "47000","Tennessee",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",111554,108951,107949,105449,104752,101167,97177,95908,88468,86586,82623,81970,82714,83566,84625,86816
 "47000","Tennessee",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",21084,20960,21616,21222,21345,21682,21578,21567,(D),19351,19466,19230,19526,20610,21099,(D)
 "47000","Tennessee",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",3395,3154,3446,3591,3550,3512,3681,3521,3369,3382,3362,3439,3598,3678,3764,3731
 "47000","Tennessee",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",1043,1141,1316,1039,1047,1119,967,987,1021,998,984,1044,1126,1275,1435,1459
 "47000","Tennessee",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",527,554,626,556,617,649,712,813,759,716,739,799,752,862,941,1000
 "47000","Tennessee",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",319,648,695,736,821,975,1001,999,908,916,920,943,1083,1194,1189,1130
 "47000","Tennessee",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",2335,2286,2390,2492,2665,2762,2861,2848,2842,2879,2911,3013,3211,3420,3666,3753
 "47000","Tennessee",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",2089,2049,2033,2015,1914,1850,1706,1750,1616,1531,1521,1605,1715,2003,1969,2012
 "47000","Tennessee",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",2269,2126,2079,2148,2253,2375,2444,2431,2069,1919,2150,1664,1699,1784,1620,1653
 "47000","Tennessee",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",633,619,638,691,767,750,701,712,619,610,566,443,470,484,488,431
