GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",146094,140803,137098,140225,136398,135463,137255,133792,124796,121103,121143,120039,119978,121208,120967,120016
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",24434,24032,23761,24417,24485,24911,25529,25464,23695,22746,22714,23119,23112,23381,23492,23560
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",1918,2135,1969,1968,1934,1927,1968,2027,1939,1930,1979,2001,1887,1838,1890,1955
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",839,913,816,942,969,988,1013,1160,1276,1479,1525,1567,1568,1541,1475,1618
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",306,310,318,351,395,395,388,412,358,341,344,343,327,343,375,406
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",349,379,424,517,599,585,534,552,513,506,453,543,561,572,594,617
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",4383,4301,4277,4357,4401,4533,4775,4774,4454,4283,4263,4301,4495,4475,4589,4660
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",4003,3894,3829,3743,3630,3433,3564,3439,3287,3247,3257,3472,3531,3718,3683,3623
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",2939,2944,3051,3258,3434,3695,3864,3781,3251,2752,2720,2684,2617,2639,2671,2689
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",714,715,705,695,624,642,571,486,406,382,417,442,409,409,410,433
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",523,503,523,575,587,614,634,657,520,449,452,433,415,416,445,453
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",174,189,200,239,376,467,463,394,369,388,380,380,458,474,281,225
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",1573,1414,1380,1453,1496,1412,1500,1503,1351,1212,1140,1122,1089,1061,1094,1068
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",1016,937,967,1001,934,938,918,973,995,973,1006,1041,1034,1013,1069,1112
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",3388,3374,3176,2988,2774,2800,2659,2500,2277,2085,2029,1975,1845,1752,1721,1708
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",6,6,7,8,11,13,21,25,20,22,21,25,26,29,29,31
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",591,609,666,792,810,870,896,954,916,973,1033,1091,1193,1268,1351,1329
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",1712,1409,1453,1530,1511,1599,1761,1827,1763,1724,1695,1699,1657,1833,1815,1633
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",116064,111169,107937,110413,106478,105121,106143,102751,95690,93479,93634,91565,91785,92761,92144,91105
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",2953,2765,2946,2896,2573,2241,2060,1718,1449,1047,719,603,573,541,502,603
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",114,109,114,103,101,113,123,112,119,115,118,145,147,155,150,149
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",731,642,708,706,721,746,690,739,827,763,867,926,1068,1028,1127,1114
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",45710,44868,41897,41762,39485,38571,37200,37459,35978,35446,35928,35610,35728,36438,36423,36950
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",205,103,87,61,54,57,60,59,57,56,61,59,54,61,72,82
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",221,"...","  Publishing","Number of jobs",13068,10497,10606,9961,9620,9458,9906,9950,8729,8296,8155,7829,7558,7298,6980,6488
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",222,"...","  Motion pictures","Number of jobs",5293,5282,4957,4938,4784,4858,5233,4493,4669,4542,4832,4639,4781,4653,5068,5477
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",223,"...","  Sound recording","Number of jobs",112,124,106,(D),104,99,105,114,125,123,(D),127,122,123,127,168
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",224,"...","  Broadcasting","Number of jobs",12213,12243,12756,13810,14449,15177,16370,16070,14721,14141,13632,13509,13183,13471,12229,12081
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",225,"...","  Other information services","Number of jobs",1386,1063,1012,1035,1070,1137,861,897,830,792,876,925,923,899,872,935
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Number of jobs",272,(D),(D),277,269,235,238,224,203,(D),168,167,157,145,121,72
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",232,"...","  Printed goods manufacturing","Number of jobs",4519,3832,3588,3684,(D),(D),3562,(D),(D),(D),2532,2266,2211,2158,2040,2109
 "51000","Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",233,"...","  Musical instruments manufacturing","Number of jobs",45,45,53,46,57,53,(D),(D),(D),44,(D),44,48,49,45,44
