GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",13365,13167,12987,12649,12466,12052,12072,12063,11153,10659,10569,10489,10532,10539,10613,10740
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",2847,2885,2931,2900,2971,2993,2997,2778,2526,2532,2658,2654,2739,2835,2852,3012
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",111,107,113,145,174,187,175,165,(D),(D),217,173,178,(D),215,262
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",136,158,164,188,205,192,191,191,185,165,157,195,198,224,221,237
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",80,(D),58,(D),71,64,73,(D),10,(D),(D),11,14,18,21,16
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",92,93,71,83,109,108,116,127,103,101,115,115,111,116,75,81
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",324,331,360,376,372,392,410,418,413,417,426,421,424,445,430,444
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",412,363,348,322,306,300,265,228,207,191,(D),188,194,194,(D),(D)
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",291,295,309,303,297,301,306,312,262,241,244,250,253,255,255,255
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",119,138,124,99,94,93,84,63,57,57,56,61,68,62,59,54
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",15,17,(D),(D),7,13,19,18,19,19,20,23,21,18,20,20
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",90,117,119,(D),140,147,148,143,106,125,136,140,124,132,126,139
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",319,264,244,238,257,267,276,254,262,286,308,327,326,257,264,229
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",(D),(D),(D),(D),33,34,35,39,41,43,45,47,49,52,56,57
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",222,213,214,196,(D),150,149,(D),(D),87,79,75,64,(D),(D),(D)
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",2,10,(D),9,1,3,5,5,4,4,2,2,2,1,1,1
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",(D),(D),(D),(D),(D),122,125,149,164,178,191,166,166,189,212,254
 "50000","Vermont",1,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",514,601,666,620,625,620,620,451,405,410,471,460,547,631,662,747
