GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "53000","Washington",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",151036,148601,146112,142763,141643,142262,144241,146633,139806,136044,137844,140604,146214,154350,162002,177527
 "53000","Washington",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",23757,22219,22145,21898,21762,22296,23128,23498,21139,19578,19718,19729,20023,20761,21621,22749
 "53000","Washington",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",3150,2938,2975,3203,3168,3075,3110,3240,3063,2843,2732,2639,2645,2661,2635,2730
 "53000","Washington",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",1132,1452,1544,1455,1627,1512,1653,1664,1758,1647,1698,1674,1853,1942,2066,2329
 "53000","Washington",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",134,126,95,90,109,96,98,126,115,98,88,81,88,91,105,111
 "53000","Washington",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",527,483,488,453,401,410,430,421,393,369,390,416,418,416,427,437
 "53000","Washington",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",2011,1810,1938,2049,1994,2046,2209,2352,2251,2201,2266,2349,2412,2436,2414,2644
 "53000","Washington",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",3559,3136,2889,2656,2680,2746,2729,2696,2438,2313,2429,2404,2375,2298,2315,2315
 "53000","Washington",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",4239,3786,3743,3814,3873,4270,4593,4682,3781,3339,3260,3270,3319,3552,3781,4070
 "53000","Washington",8,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",622,610,593,536,520,557,502,487,416,319,296,290,283,298,322,334
