GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",119157,115120,110999,108066,103680,100870,99020,97695,92947,91245,91526,92379,92284,91727,91664,94167
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",16415,16021,16519,16598,16307,16765,16701,16625,15404,14725,14533,15154,15631,16012,15827,16370
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",1821,1704,1852,1926,1856,2011,1936,1825,1655,1618,1573,(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",1102,1128,1631,1264,1132,1441,1537,1473,1695,1740,1649,1514,1521,1582,1534,1746
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",51,75,80,95,90,75,86,66,68,64,64,93,92,91,97,97
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",476,479,469,589,656,711,708,661,650,577,561,550,497,524,542,543
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",1361,1406,1413,1435,1428,1572,1584,1736,1603,1585,1610,1731,1737,1791,1762,1849
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",2872,2742,2683,2718,2441,2266,2136,2238,2053,1932,1883,1986,2208,2255,2254,2242
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",1613,1577,1537,1536,1578,1583,1630,1645,1420,1256,1212,1243,1269,1305,1378,1438
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",236,220,219,227,229,228,218,211,144,122,127,160,161,169,176,170
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",89,79,83,84,90,99,113,125,109,113,118,118,125,134,159,161
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",92,110,119,155,199,199,162,181,247,263,238,318,338,332,317,549
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",1208,1062,1114,1042,1179,1253,1282,1319,1152,1076,1158,1235,1235,1418,1311,1308
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",203,210,218,203,202,205,224,226,210,223,256,272,276,293,295,305
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",3112,3032,2845,2834,2702,2613,2297,2123,1763,1728,1667,(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",7,6,6,5,6,6,5,4,4,4,5,5,5,5,7,8
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",140,"...","  Fine arts education","Number of jobs",456,509,548,583,592,643,676,726,675,721,751,982,1060,1095,1200,1289
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",150,"...","  Education services","Number of jobs",1716,1682,1702,1902,1927,1860,2107,2066,1956,1703,1661,1642,1838,1816,1806,1656
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",200,"..."," Supporting arts and cultural production","Number of jobs",97843,94210,89772,86819,82757,79519,77639,76405,73094,72518,73063,72841,72489,71538,71486,73453
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",211,"...","  Rental and leasing","Number of jobs",2143,2081,2149,2043,1798,1659,1608,1495,1377,1129,922,850,(D),(D),(D),(D)
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",212,"...","  Grantmaking and giving services","Number of jobs",64,64,69,63,63,64,67,56,60,57,52,58,57,63,65,72
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",213,"...","  Unions","Number of jobs",706,613,609,600,606,613,521,565,623,544,593,591,643,591,605,560
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",214,"...","  Government","Number of jobs",43556,42546,39414,35873,32882,29605,25810,26171,25745,25269,25048,24296,24545,24466,24244,24409
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",215,"...","  Other support services","Number of jobs",47,31,27,29,31,28,30,29,28,25,24,24,23,23,22,28
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",221,"...","  Publishing","Number of jobs",9276,8575,8814,9167,9228,9096,9473,9345,8534,8248,8459,8681,8895,9267,9671,9997
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",222,"...","  Motion pictures","Number of jobs",3907,3840,3778,3688,3635,3535,3769,3811,3650,3517,3314,3169,3077,3046,3241,3084
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",223,"...","  Sound recording","Number of jobs",292,272,256,241,247,234,217,207,195,190,189,194,196,178,177,176
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",224,"...","  Broadcasting","Number of jobs",4526,4788,5028,5366,5716,6114,6710,6754,6367,6314,6128,6111,6113,6157,6191,6087
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",225,"...","  Other information services","Number of jobs",85,78,77,(D),(D),(D),(D),(D),(D),87,(D),(D),(D),134,158,193
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Number of jobs",233,223,217,212,230,253,267,254,215,204,214,198,197,192,180,190
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",232,"...","  Printed goods manufacturing","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6565,6213,6192,6113,6126,6251
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",233,"...","  Musical instruments manufacturing","Number of jobs",489,454,435,338,251,251,184,188,(D),(D),86,93,93,89,88,93
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Number of jobs",782,1230,1079,1058,1092,1174,1737,1782,1620,1727,1897,1885,1833,1912,770,793
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Number of jobs",10,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",236,"...","  Other goods manufacturing","Number of jobs",953,(D),(D),(D),(D),(D),(D),(D),(D),(D),676,552,567,611,639,746
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",240,"...","  Construction","Number of jobs",2716,2499,1954,1793,1857,2039,2094,1435,1158,1645,1809,1613,1429,1259,1265,2572
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",250,"...","  Wholesale and transportation industries","Number of jobs",2482,2747,2814,2897,2744,2781,2794,2662,2205,2467,2649,2956,2953,2698,2813,2895
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",260,"...","  Retail industries","Number of jobs",(D),(D),(D),(D),13468,13197,13198,12967,13457,13718,14352,15272,14751,14019,14564,14619
 "55000","Wisconsin",3,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",300,"..."," All other industries 2/","Number of jobs",4899,4889,4708,4649,4616,4586,4680,4665,4449,4002,3930,4384,4164,4177,4351,4344
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
