GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",26801,26213,23872,23243,22540,21385,20881,20929,19697,19380,19111,18852,18192,17443,17205,18326
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",2426,2548,2209,2144,2135,2072,2112,1967,1758,1811,1774,1824,1688,1742,1688,1750
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",252,361,307,301,294,301,329,298,228,260,243,215,234,216,213,205
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",114,159,178,171,237,(D),167,109,102,84,86,91,92,162,141,164
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",(D),(NA),(D),(D),(D),(NA),(D),(D),(D),(D),(NA),(D),11,14,15,17
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),29,(D),28,32,35,39
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",147,143,129,129,127,(D),198,171,174,194,198,205,214,245,230,237
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",322,309,(D),(D),(D),(D),(D),(D),178,168,175,191,189,223,224,237
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",127,(D),141,150,157,155,151,152,144,144,144,148,145,135,131,117
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",51,56,58,55,38,31,30,35,30,27,23,23,19,21,19,18
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",7,(D),(D),18,21,23,26,24,17,12,13,12,10,13,12,10
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",99,74,61,55,53,58,59,60,62,59,55,60,60,61,64,54
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",22,23,24,26,27,24,(D),30,32,34,33,30,32,26,25,25
 "54000","West Virginia",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",833,736,553,531,507,498,452,446,411,415,(D),(D),(D),(D),(D),(D)
