GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",1000050,1073196,1103056,1110431,1082204,1071496,1092837,1143126,1152434,1205731,1229583,1260457,1314179,1279417,1333850,1355056
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",97305,102119,106559,103250,109860,108669,115502,119716,117649,117382,114937,119160,122664,128732,122271,117885
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",16238,16386,15124,11690,12252,9852,9107,9253,11432,14154,14683,16879,16891,19334,15501,17394
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",4782,7254,7045,5818,5493,5500,9672,10419,9290,6082,6395,6966,7864,9214,9369,8547
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",27,46,15,9,10,79,0,1,0,70,70,73,79,18,9,801
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",7544,5801,5861,4794,5625,4424,3900,3489,4942,5715,5506,9434,9483,5460,4831,3499
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",7616,8919,10905,13015,14523,17303,18934,17248,14228,11196,11687,12621,13627,14211,13905,14074
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",9481,10258,9094,9718,9588,10291,10986,13643,13227,14322,12321,14218,16133,18951,18535,17209
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",33028,34254,37813,37702,39227,37512,42104,40868,40276,42114,42105,38047,36661,36732,33791,28933
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",2468,2323,2835,3571,4176,3699,1176,971,1409,1348,1544,1285,1278,1359,1223,1387
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",2304,2884,3228,3011,3593,3711,3572,3614,2948,3883,3338,2641,2958,2967,3044,2384
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",359,392,329,363,297,256,298,286,185,304,267,191,370,1826,1927,2256
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",764,1028,1335,1271,1181,1222,477,393,494,1031,1005,1070,1371,2432,3353,3832
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",762,908,927,941,1109,1235,1347,1564,1953,2168,2123,2218,2051,1772,1684,1838
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",7728,7187,6784,6193,7614,7976,8054,11330,10733,7940,5962,6294,6036,6305,6021,6536
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",0,0,0,0,33,62,20,16,22,34,45,29,23,64,69,129
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",2424,2395,2955,3087,3327,3485,3496,4455,4344,4895,5757,5195,5716,6009,7031,7276
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",1780,2083,2308,2066,1812,2062,2358,2167,2164,2124,2128,2000,2126,2078,1978,1790
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",867859,934449,959146,968321,931451,920034,930635,974591,985468,1042152,1066115,1087057,1132117,1094632,1152685,1179307
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",9581,9634,9840,9559,8676,11784,13434,12807,12081,10230,8287,8994,8303,8588,9923,9685
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",629,692,893,895,1015,1179,1379,1072,1295,1313,1350,1380,1679,1641,1856,1993
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",1737,1593,1631,1845,1961,2853,2553,2938,3248,3280,3484,3727,3765,3911,3813,4055
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",593609,601175,582556,570530,531479,508720,472424,487415,518963,563106,595214,597034,586255,602304,606475,616789
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",126,79,87,113,100,157,174,319,300,359,450,515,364,597,761,891
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",32415,43688,48079,50969,52907,46896,51583,49556,43342,37823,34452,29710,28217,25937,27116,25696
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",13897,16317,15324,14561,11321,11033,11109,12089,14506,20700,20388,20666,24652,21468,27887,25577
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",1718,2044,2003,1584,311,433,639,999,1284,1084,1164,1167,1672,1494,627,600
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",124334,131758,154972,181813,188476,179741,205344,228639,233530,238991,257966,270906,307844,296125,338277,361251
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",2409,4117,6487,8734,9276,11484,5249,6073,6687,7015,7090,5963,5788,5809,5987,7007
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",972,811,979,880,938,1092,946,1083,1319,1199,1029,1273,1142,770,594,740
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",4005,3252,2982,2951,2793,2747,2837,2915,2877,3135,3966,4012,4493,4523,4186,4259
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,13
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",133,229,318,369,471,549,495,441,357,373,427,439,486,393,581,561
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",1,12,12,11,5,7,7,5,9,8,20,0,0,1,0,0
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",194,198,199,13,21,28,27,69,62,64,57,103,145,118,105,83
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",240,"...","  Construction","Thousands of dollars",29005,60724,69302,58592,55198,71361,91253,96878,78937,87297,60910,69461,80874,49871,52484,49549
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",12686,16407,19433,18253,18777,19980,21925,22080,20145,21820,22769,26964,31179,28750,29716,28805
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",40406,41719,44049,46647,47725,49990,49257,49212,46525,44356,47091,44742,45259,42318,42283,41752
 "02000","Alaska",8,"SAACArtsVA: ACPSA value added by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",34886,36628,37351,38860,40893,42793,46701,48820,49317,46197,48532,54240,59398,56053,58894,57865
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
