GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",2004487,2161789,2223546,2337720,2389066,2417970,2722485,2528232,2485713,2586942,2602990,2642940,2716095,2749255,2821390,2911066
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",239457,270254,288871,298000,308281,328999,345309,359075,361834,376431,414999,383266,384656,414526,437421,460720
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",19864,20348,20561,25414,23015,20696,17340,17838,22375,29289,26972,26469,23487,27786,25833,27797
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",15238,20870,22700,20797,24192,40165,35322,36179,29031,18726,19122,21770,22270,24415,24334,27502
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",487,532,549,651,624,716,746,1259,1320,1098,2227,1851,1743,2242,1609,1538
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",9896,12865,13678,11769,13939,13160,17256,21150,28463,11014,25408,8235,7903,7910,7245,7486
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",3211,3342,3718,3668,4268,5077,5707,5955,8762,8447,10648,15091,17224,18199,18614,20781
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",47642,57130,60308,62924,65343,74702,83981,89502,85139,87605,90799,123281,134541,145944,161509,174775
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",60528,62124,74145,77898,85372,86717,98622,101749,108476,115642,111883,82409,76932,75967,81081,89324
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",4315,4473,4183,4678,4441,4210,4743,4842,4604,4267,4266,6767,4985,6189,5998,6751
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",10425,11876,12505,15908,17110,15481,18437,15154,11262,31428,48746,14619,11115,13370,15930,14213
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",2295,2911,2874,3114,3122,3506,3214,2894,2786,4187,4896,5432,8293,5258,4373,4319
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",12521,14053,12967,12999,13297,14535,16349,19096,15543,20196,24055,23904,24717,28810,27224,23861
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",1066,1026,1146,1136,1495,1796,2576,3082,3685,4139,5037,6204,6121,6236,7020,8299
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",42489,47129,46438,43990,40350,35925,27493,25111,24702,22494,22446,26425,23301,28439,30214,29300
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1090,1426,1535,1682,1511,1072,705,801,727,1057,659,1710,1948,2427,2729,2758
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",2845,2757,3108,3486,3752,3842,4426,5641,5580,6636,7005,7502,8518,9555,10193,9960
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",5545,7390,8457,7886,6449,7397,8393,8823,9381,10204,10828,11598,11559,11778,13514,12057
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",1626202,1746502,1787255,1885450,1917555,1919827,2197883,1987508,1944154,2041939,2016609,2066101,2136981,2136710,2180025,2243741
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",28600,29811,28855,31919,31765,40520,46038,43388,39870,31344,24257,28259,27479,26964,27992,28856
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",812,854,907,980,1122,1437,1627,1362,1587,1765,1905,1668,1639,1671,1903,2048
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",1592,1502,1697,1804,2166,3174,2893,3093,3143,3103,3310,3571,3614,3739,3891,4610
 "05000","Arkansas",5,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",651027,657521,649064,650826,629420,639451,635521,654013,665836,696987,713925,715628,741371,770203,784797,794738
