GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",6493544,6835548,6835428,7385754,7797833,8277623,8703088,8777681,8213388,9145492,9176539,9527022,8923464,8542928,9266448,9345562
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",1188934,1273591,1249213,1319818,1396541,1601333,1688370,1747508,1441377,1466587,1406652,1394568,1422490,1475592,1574318,1642152
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",61178,63938,61714,86382,81465,92485,96351,105168,117661,153660,142992,136390,122762,130765,134822,150821
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",50389,87958,80250,72891,79775,96242,96868,110083,100532,84279,84228,113192,121451,137865,148012,138887
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",5284,5403,5020,7821,7723,7537,7980,8865,7717,7612,9900,8188,8602,8113,7320,9752
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",103908,93399,87350,85128,99523,117636,125361,132155,167163,181654,112440,115620,120423,116154,120765,123079
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",44094,43837,46081,48561,52531,59066,65769,57809,64613,57480,61583,68576,73171,77981,75660,86512
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",198981,255906,224173,224471,222250,254050,234864,246222,216400,224405,234913,275743,292506,309380,335024,352747
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",284576,259492,253312,260256,291436,324040,357104,354910,248693,216636,227762,209496,206999,212407,228425,249719
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",62497,69349,77671,85069,114320,148140,168686,178072,92613,83748,70585,54745,60710,45736,51728,51315
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",103558,110692,119373,138900,137647,170939,197471,188364,119711,122627,121322,106768,113365,123277,155403,146289
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",11741,9013,8438,8815,8413,15599,14463,14742,13117,16069,17779,14780,15355,19177,19204,18328
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",102827,96919,100099,101196,108609,111901,104906,111004,74149,92934,82335,54112,56456,59414,58388,61733
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",8076,7736,8970,10575,12657,15695,20859,23180,24933,30741,35974,37534,38973,41858,44514,49040
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",110398,116746,118878,115250,105810,106467,106034,109856,87201,84629,89904,89215,85623,92012,91036,98375
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1277,1396,1141,1315,2201,1777,2043,2008,1398,1965,1998,2216,1765,2046,2884,2868
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",18909,19252,21865,23615,28483,33552,36043,48696,39931,41066,39765,30044,30077,31895,33740,35785
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",21243,32556,34880,49575,43699,46208,53568,56373,65547,67082,73172,77949,74251,67511,67392,66904
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",5021958,5267707,5286381,5748311,6058597,6307576,6620652,6627226,6376348,7304262,7385747,7388353,6777495,6635148,7229709,7230359
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",87453,87325,82217,90070,95424,140420,163657,177084,158613,116128,74416,65655,70766,54434,61153,83437
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",3261,3351,4032,4042,4794,9094,11809,9208,9733,8641,8149,6907,7910,8791,10267,11519
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",3560,3710,3790,4241,4604,6725,6606,6507,6662,6369,7833,8631,10055,8910,9505,9530
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",1888654,1912828,1839539,1796534,1726507,1675474,1605439,1657370,1661886,1613118,1604292,1584994,1585679,1583903,1590361,1617111
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",14128,14014,11714,12601,11285,13764,15804,17347,14459,16806,17977,24029,23603,20829,20168,19215
 "04000","Arizona",6,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",460416,554640,618428,679282,733877,692758,767635,690715,593200,577420,575517,602714,572970,544252,669810,683518
