GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",11215129,10917398,11227055,11668477,12056253,12019864,12700853,12386311,11574663,12045090,11887847,12164763,12784523,12866447,13924818,14537731
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",1564292,1564870,1549814,1600725,1671384,1850116,1982829,2066543,1791802,1811869,1837156,1927501,2112983,2293914,2484692,2649380
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",124515,123390,108946,142040,138376,118259,117570,119354,133751,168518,175300,170603,168046,178083,171527,194365
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",48513,71558,82756,66839,81942,105561,102124,120698,97950,72171,80443,103865,195340,215713,226819,197985
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",32353,8622,7779,8023,6888,6791,6385,6115,3632,4751,4807,5141,6448,5765,6790,7640
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",125794,126483,151961,141697,139486,168572,165763,160912,154328,145809,143838,152805,157779,179255,201199,224702
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",52497,50630,53409,53986,59295,69791,80907,74548,85786,73433,75025,85520,91489,97307,96317,108148
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",255865,267771,240432,240348,241575,267278,299529,345320,342254,378484,387727,450177,481802,506404,537011,581596
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",319077,304623,286968,304219,328915,363966,410960,400786,314563,272492,259657,259422,274865,302152,358721,396437
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",87882,89548,86659,91812,98288,105828,105780,111163,86532,72512,64578,59260,67835,72870,80465,90144
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",142849,145908,156859,185533,213315,270819,307168,300851,185017,196217,196299,174423,189065,227736,248064,245836
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",24551,22109,24943,23454,17260,15649,15636,16699,15906,21333,28561,28693,26844,31806,33057,33300
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",126664,125823,118278,119090,121337,132275,134080,153281,119794,146841,145939,130025,129047,127143,151653,173435
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",34249,29760,29104,32467,35678,39658,46922,50083,49278,52599,58138,67668,71375,76446,82955,91326
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",139475,142545,134849,117077,108413,103722,107796,114575,109944,102403,109044,124965,131378,141289,154399,161758
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",1979,4258,5295,5323,5213,5230,5616,5046,4457,6319,8524,10950,9879,11426,12272,13124
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",26668,25728,28870,33727,38905,38600,35694,47703,46016,54454,54899,53733,57831,63611,68590,71959
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",21361,26113,32704,35091,36496,38116,40898,39408,42593,43534,44377,50251,53959,56907,54853,57624
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",9349042,9043152,9364670,9746469,10045609,9815338,10337808,9931112,9400869,9876369,9691719,9823544,10265564,10126219,10967049,11408370
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",104794,94476,86770,85845,79414,98707,108690,92930,86686,71466,63316,77873,77563,83510,92799,101085
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",3989,5550,6162,5838,6077,8343,9958,7866,9506,9398,9791,9951,11216,10625,11857,13098
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",8313,7636,7906,8745,9420,13490,12388,14532,15086,14998,15710,17225,18180,18848,19048,21564
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",2138101,2264972,2156821,2084662,1959531,1801898,1634340,1749982,1799823,1871062,1911302,1909221,1950318,2029365,2084004,2150323
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",4844,3184,3680,4342,4795,5614,6515,7541,6243,6862,7302,8935,7377,7386,8682,7937
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",1634133,1885681,2018190,2158162,2231189,2016543,2294514,2246688,2094643,2132547,2203644,2230422,2156522,1988962,2144159,2252198
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",1448394,407088,342079,265378,236913,258323,269951,265290,294146,319030,319594,335414,374580,339303,368562,387795
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",32744,40332,35409,48572,26196,36870,35904,41505,51621,50969,52620,56644,44313,45083,52565,56621
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",2484285,2638263,3146641,3627558,4011748,4022079,4329813,3879443,3554345,3791235,3541597,3662638,4005093,3910471,4275941,4460402
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",106640,180968,203087,209491,221803,258134,247734,280397,289709,286872,314765,295486,333959,397879,477497,459586
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",9830,8528,9223,8850,8349,8294,8018,9347,11017,11202,10442,9888,9557,12807,12534,15805
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",122644,106270,102065,105804,111904,117971,123164,118467,97426,90687,87723,85990,85576,89000,88470,91900
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",4675,4768,4154,4351,4263,3071,2043,1159,1376,1738,1680,1644,1759,2463,2576,2401
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",15891,21374,20217,20236,21606,23871,37780,36888,25913,23198,23369,25051,28120,33241,41077,42336
 "08000","Colorado",7,"SAACArtsVA: ACPSA value added by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",7621,9850,9394,10009,10118,6805,7269,7415,6470,6715,9240,260,213,534,180,214
