GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",6233789,6431311,6403829,6714735,6700685,7113923,7793726,7675135,7450416,7723932,7725392,7858396,8492029,8532226,9053534,9177526
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",1544867,1549942,1590698,1560503,1556455,1566659,1617933,1662470,1557466,1580805,1602651,1653298,1655161,1719966,1697530,1712384
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",114104,101934,101708,124125,126508,109987,105515,111863,166040,163973,146903,139501,136694,160187,154636,187756
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",78087,89714,90717,77380,80322,95757,88864,82955,81838,68005,69825,69964,78428,80088,78199,68087
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",14290,14526,16818,18561,20814,18954,18418,21073,21191,18496,20677,22025,25236,27405,29283,42324
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",136061,94121,138045,130751,139116,156185,192792,177686,145034,123792,131427,138250,117388,133887,147858,112357
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",49496,50733,57735,59546,62502,67002,72140,68360,76411,61638,60181,66597,69796,73015,71310,76959
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",419394,440564,440744,417735,397122,404140,415788,432851,409817,450428,453661,529133,521359,522586,479478,484188
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",196689,208510,207956,206216,216778,206307,226054,224474,186610,185405,186920,173122,181652,188840,201391,206452
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",32394,30739,32179,30295,30683,32017,32852,30456,27360,27288,24403,23330,24583,25778,24063,20894
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",66895,75137,77689,82286,79929,88580,102758,117562,81039,91243,103605,83437,83670,92411,102966,104806
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",47895,33056,29399,26448,22564,17613,19488,21335,12116,16894,22220,19204,20460,22887,21140,20573
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",121385,122239,106006,93656,99431,89522,86605,92152,68083,80383,78958,67738,67332,62731,62486,69716
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",15976,14173,13761,15043,16945,18961,23016,25653,25175,28742,32866,36395,36000,35628,36995,34941
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",146889,155303,144404,127103,111731,102930,87705,79010,64264,60353,62264,74925,83128,77502,77742,77913
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",5315,4804,4972,4911,5604,6093,5005,5393,3915,9083,5883,4757,3494,3904,3969,3694
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",38430,36484,39498,45186,46857,47679,43689,58566,55998,62993,62005,55359,56926,59520,62858,63050
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",61569,77906,89067,101263,99550,104932,97244,113079,132577,132088,140856,149559,149015,153599,143155,138675
 "09000","Connecticut",1,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",4369395,4554611,4483612,4812399,4786745,5165443,5774012,5615154,5503652,5785471,5759927,5795010,6431459,6401172,6912931,7031183
