GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",7080327,7627908,8212183,8587916,8757244,9013407,8982843,9291353,9078966,9323347,9477900,9669918,9878328,9861855,10221147,10997622
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",1175936,1315324,1410639,1527960,1606237,1696058,1768020,1962355,1921137,1937111,2013586,2159839,2135252,2213977,2251280,2575499
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",95580,102507,95774,117214,125740,121780,107856,105733,118996,154158,158203,131937,108353,119652,116308,132138
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",26023,66297,66528,56994,69515,80811,77922,80383,69237,53809,54315,65833,89087,99218,115052,377163
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",8654,8118,8029,7688,6223,6777,6283,6804,6255,7057,9567,9617,10105,10582,11263,14301
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",40270,40678,39751,34285,40091,38560,36889,51791,57583,56425,57198,65478,60318,64195,61799,70078
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",20066,22278,28955,30420,33206,33990,38699,53644,56346,44182,42064,46165,44018,43774,40280,43771
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",350914,430193,477416,547829,562667,600272,642157,745544,740441,852119,896604,1037447,978954,1011110,1023085,1043514
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",279145,302482,328832,338199,353589,362551,419341,462167,466110,338525,368374,353761,350474,366562,393276,406180
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",14273,18460,12652,13171,14801,21462,17980,19523,18023,13635,15296,17903,22152,25718,22885,22389
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",49609,48451,52653,59122,72163,86966,100917,107982,83355,103888,96727,87651,87587,97973,102892,102973
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",930,747,975,2185,1049,1086,882,1004,786,1042,1288,1012,925,1271,1323,1431
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",83415,72408,53915,52449,57201,55274,51449,53465,42205,58511,63178,56987,66233,62201,65725,68385
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",4720,6748,9469,13442,15054,17497,17263,19847,19387,20752,23081,26875,27594,33146,36959,36008
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",11155,20971,29147,34711,16616,15464,12992,16683,11595,5587,5182,8446,8413,6782,6985,7597
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",191,340,815,816,210,247,170,41,3,0,11,485,602,946,1265,2494
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",42124,31113,35183,42895,47550,46751,45944,56362,52602,59991,59957,49723,51954,44430,32959,32833
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",148867,143533,170546,176539,190562,206569,191275,181380,178216,167430,162541,200518,228485,226417,219224,214246
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",5820042,6224726,6713706,6971339,7058555,7221162,7111427,7222551,7049802,7283600,7359968,7392933,7630509,7533607,7845594,8295433
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",9012,7538,13240,10376,8363,10450,11156,11047,12277,10319,7695,10411,9986,5812,6510,21878
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",10144,13541,12043,12643,13621,17801,21224,17572,21734,24920,26709,27304,32329,34430,39744,45801
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",73740,65944,68878,76541,81216,113367,105827,124879,129997,128801,144998,153571,159127,167004,167137,183894
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",3772842,3826778,3916571,3893478,3960686,3874300,3737630,3750421,3899366,4072230,4141957,4125432,4232987,4324320,4438341,4609097
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",1042,944,1050,1243,749,704,934,564,440,659,940,1071,1561,2218,2196,1797
 "11000","District of Columbia",2,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",638571,829362,942301,1017707,1038676,921387,1072922,914918,793147,724534,752810,741598,716553,628008,605001,644783
