GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "10000","Delaware",2,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",805248,876042,884454,949241,908838,952207,1002220,955236,910079,868884,895204,867981,915293,935011,981247,1024622
 "10000","Delaware",2,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",156245,166136,164726,179351,192151,195019,202184,212371,207200,194280,220133,207574,196460,201490,194082,201020
 "10000","Delaware",2,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",17391,18717,14520,21155,22080,19008,12375,14583,15774,24884,65797,45761,33222,33448,24940,25825
 "10000","Delaware",2,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",1521,1789,1473,2266,3366,3888,5848,7101,18641,8466,4852,5414,5749,3709,3339,4612
 "10000","Delaware",2,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",103,130,0,0,1,30,8,2,181,42,107,197,82,98,82,207
 "10000","Delaware",2,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",11007,12426,10524,10227,11966,11105,9636,9930,8272,5965,5902,5872,5123,5575,6555,6925
 "10000","Delaware",2,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",23231,25296,25295,27931,28806,30479,28193,24197,30539,23606,22487,24683,26804,28815,26279,25928
 "10000","Delaware",2,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",27902,32890,35472,37545,39494,41236,57047,66526,58064,55878,50295,56806,55710,57519,59111,61871
 "10000","Delaware",2,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",24496,25044,25816,29464,30873,30414,26497,26460,22771,19509,14930,12735,13916,13202,13336,13001
 "10000","Delaware",2,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",4803,5493,4931,6911,8706,10422,11300,10761,7363,7629,6808,7222,7379,6482,6488,7307
