GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",22360934,24158636,25153043,27176274,27951953,28981390,30075520,29856999,27877150,28867224,28846192,28915149,29744891,30582082,33026142,35048379
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",4528370,4783936,5028544,5420208,5670508,6148333,6399273,6346939,5373086,5687009,5742801,5977513,6196833,6903312,7432757,7746236
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",653754,520632,548630,685284,570400,573056,484462,568960,641942,880131,931185,864498,917305,1003825,1037695,1160112
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",274052,391834,420030,360762,397211,458092,462352,522760,432574,352557,360506,415162,427512,496076,566159,481194
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",55957,31955,38478,59854,85288,74366,71334,85669,86257,67368,91612,117634,90080,124300,115285,122858
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",223021,281791,281801,369393,461073,490457,726952,544740,514262,578538,497691,630662,637902,737729,835484,904740
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",123610,125886,153280,152389,172594,192648,209366,191043,208175,172515,171939,205041,224878,231909,231507,258669
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",847003,862632,853818,954145,887479,940282,1005579,1050242,924132,955109,953616,1104934,1150061,1231771,1246124,1305560
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",639465,655552,696612,719624,813956,888194,903758,851696,604937,536343,532760,503732,525609,590585,701072,744248
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",186360,196887,211667,245509,251653,294955,314647,265470,209706,194129,203056,183245,188097,217749,243549,267744
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",619377,695565,799409,854903,959052,1085331,1105018,1108295,714878,838750,821489,734428,760312,889426,1021732,1022611
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",43294,63446,58182,63545,66161,66097,71671,72902,57419,74965,93520,78470,73651,89166,90772,84408
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",270372,319882,322009,325343,350510,351657,327080,332403,238980,295498,308828,278136,292362,323367,359274,400902
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",38216,37236,42602,46860,53951,57214,67183,71121,70985,78716,87601,91559,96531,104960,114302,124019
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",389813,437239,431617,394007,400407,445624,417355,426641,417741,390076,396507,493705,508458,582612,581833,571374
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",19618,16022,20549,24862,22475,37912,25234,27405,20077,24409,27552,26187,25294,27793,31739,33499
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",80242,70819,66037,71152,84009,85734,86014,108854,99354,113378,114937,109184,135152,109559,117006,121116
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",64216,76558,83822,92578,94287,106715,121268,118740,131665,134528,150003,140938,143630,142485,139223,143183
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",16903926,18391014,19117054,20693921,21140586,21637843,22406394,22233165,21240721,22000689,21929660,21619500,22261381,22236567,24063407,25746273
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",351354,389234,396684,440483,370663,500066,577667,500002,427828,340507,286969,344743,316905,332825,365348,469074
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",10726,11487,13374,12500,13647,16343,19439,13956,15802,15165,14301,13695,15977,17555,20247,23704
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",16624,14663,16065,18419,20544,28074,26060,28760,27338,26006,27664,29740,30335,31317,33098,37016
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",4686069,4971896,4772146,4662981,4331079,3963387,3576977,3788234,3716801,3702439,3760551,3617933,3636154,3697642,3701219,3760246
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",54756,39137,43986,50423,52645,53306,63225,63889,58727,57740,61791,67976,70880,75346,74662,85909
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",1471226,1863956,2182069,2435357,2699101,2604350,2940845,2691357,2334554,2333991,2337580,2288477,2402362,2294768,2571485,2719772
 "12000","Florida",5,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",1300663,1309956,1340506,1361425,1360479,1322832,1585344,1667155,1431843,1297559,1300491,1386178,1401269,1489781,1675349,1878415
