GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "16000","Idaho",7,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",1435980,1545143,1506847,1569946,1590814,1673146,1729173,1800064,1703280,1784567,1675918,1760623,1850206,1777666,1874424,1941777
 "16000","Idaho",7,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",276779,316073,241856,205535,199715,227810,235825,234422,200982,239604,198041,191358,192873,212027,219316,241001
 "16000","Idaho",7,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",10145,9521,10048,13823,15430,17971,17676,21331,22180,64975,27734,26329,24487,23605,22315,25437
 "16000","Idaho",7,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",3813,6336,8060,7243,8458,12830,12109,11977,10973,9233,8858,11083,13240,14045,13171,13515
 "16000","Idaho",7,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",462,364,295,307,340,401,755,686,436,380,298,68,38,2240,1278,1328
 "16000","Idaho",7,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",139769,162143,73631,28105,10059,11396,14478,12626,13436,13671,12005,12232,13461,15941,17229,20836
 "16000","Idaho",7,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",2522,2736,3394,3410,3807,3842,4321,4211,4599,3838,5642,6877,7358,6894,6662,7399
 "16000","Idaho",7,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",19142,24525,24883,26628,26946,31507,29664,28528,27812,29428,28544,29290,32125,34476,34757,38344
 "16000","Idaho",7,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",44078,44322,45084,43750,46273,54235,63570,60799,47059,39299,37718,34221,34433,37320,39724,45374
 "16000","Idaho",7,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",3265,3683,7362,9148,10653,14049,13632,13261,8464,7899,6791,5912,4225,4711,5169,6092
