GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",6495992,6764938,6947156,7334185,7441571,7333241,7339864,7377184,7079420,7368216,7232712,7380121,7540117,7589723,8033569,8285529
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",981548,1055139,1079438,1086092,1104579,1113629,1119946,1168345,1084899,1109259,1116844,1169659,1136613,1194785,1237843,1277015
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",95312,105010,102723,105468,103583,92889,84874,89946,106348,137517,145195,136513,124661,140115,120225,135687
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",54732,69992,68190,74494,83562,96259,93622,99132,76770,54544,56498,74055,84938,91083,102644,105053
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",2850,3143,4757,6943,8640,6881,8475,9429,8322,9657,10244,8311,8141,5137,4717,6638
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",38934,36034,45274,40999,44962,43149,43418,40924,45675,35291,38896,43142,46673,48701,53166,57113
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",42023,43153,50578,51600,55823,60602,65302,60571,67772,54857,53812,59711,62160,65743,63154,68897
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",137804,160786,162152,174733,175228,185175,204246,208689,195796,201057,200975,222885,217485,231788,249275,265677
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",166147,163011,169818,162948,169696,166857,178698,182354,152206,149768,152568,139493,121036,127556,145890,160937
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",11013,10459,11048,11227,12681,14153,14569,15695,16722,20795,21257,14605,13069,13909,15679,17055
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",45638,49279,58996,65190,66594,73764,73620,73131,52219,58644,58520,52549,51513,53073,56408,50529
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",17080,20210,17733,18689,17268,14865,13920,15681,13647,16268,18938,14240,13396,15018,15148,14655
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",67193,82963,82687,81019,83611,79503,73451,78385,60030,75014,72640,64879,64920,73989,80174,83996
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",9018,9426,10496,10309,10781,11506,14492,15960,16775,18768,22925,23905,28903,27143,30001,34072
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",234362,242149,233450,206316,187307,178032,162855,178829,171854,170352,154922,203263,191877,192482,190366,159008
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",2801,2398,2035,2222,2324,2442,2139,1152,842,1263,1871,1559,1962,1697,1532,1678
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",16752,14117,15366,18259,19404,18837,17159,21991,22436,23984,25907,24292,25223,30400,33206,34766
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",39888,43009,44135,55675,63115,68714,69107,76476,77482,81480,81676,86257,80656,76952,76259,81255
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",5104148,5283048,5442568,5810412,5882776,5752079,5726650,5714567,5517524,5808752,5653310,5690637,5891433,5878432,6252933,6455209
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",119447,125373,124962,113027,107595,135582,155675,131263,122528,95405,64201,78325,73638,74961,85255,102534
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",6359,6558,6708,6535,6488,8083,9184,6852,7843,7687,7401,7514,8325,10149,10914,11863
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",8238,7326,7282,7805,8513,11731,10945,12896,12871,12262,12431,13678,13752,13869,14347,15257
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",1922297,1966136,1919016,1936640,1835296,1706744,1626324,1651501,1645920,1688434,1736084,1767267,1770678,1813962,1841603,1859335
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",215,"...","  Other support services","Thousands of dollars",8642,6944,7555,8826,9605,9391,9799,10036,5809,6047,6688,6881,8064,7776,6801,6398
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",221,"...","  Publishing","Thousands of dollars",439151,551951,610049,663853,691605,630623,733308,720904,670431,640868,612982,647798,632082,566144,556492,544674
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",222,"...","  Motion pictures","Thousands of dollars",170434,179755,162802,173053,155191,164976,166655,173673,178391,188149,165895,158891,156580,146038,151921,166331
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",223,"...","  Sound recording","Thousands of dollars",10491,12656,12507,17294,10883,15108,25650,32150,45562,49860,54779,66007,69405,72262,85312,90303
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",224,"...","  Broadcasting","Thousands of dollars",671504,678633,780736,984581,1166277,1129530,1246870,1284053,1215364,1274794,1243025,1225732,1329599,1331620,1494613,1570732
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",225,"...","  Other information services","Thousands of dollars",14513,18877,17422,31133,36093,54485,36095,44057,38376,46155,42949,40607,36932,37259,146611,176283
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",231,"...","  Jewelry and silverware manufacturing","Thousands of dollars",23050,23742,18421,13476,8876,12975,17853,13285,14903,14495,14477,18276,14648,17348,12072,13966
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",232,"...","  Printed goods manufacturing","Thousands of dollars",268158,244476,245873,264467,274321,290715,319601,302421,274872,275596,263954,247024,243626,243287,236269,243219
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",233,"...","  Musical instruments manufacturing","Thousands of dollars",82080,79423,68904,62325,55108,48909,48246,57414,60790,59968,57372,46596,42242,42958,43965,48064
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",234,"...","  Custom architectural woodwork and metalwork manufacturing","Thousands of dollars",33453,47451,45047,42146,41029,40487,59304,55103,41971,43336,44149,42378,40501,44633,50038,50233
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",235,"...","  Camera and motion picture equipment manufacturing","Thousands of dollars",2064,2860,2900,3983,4014,4092,4589,4966,4253,4819,1816,41,35,91,30,38
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",236,"...","  Other goods manufacturing","Thousands of dollars",82325,86816,88338,87782,87632,79205,73082,65466,56632,67931,68794,76976,88389,93919,101088,107309
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",240,"...","  Construction","Thousands of dollars",207521,167089,273158,377660,369693,397573,211316,244804,243889,419790,269653,161605,176170,143941,145609,156005
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",250,"...","  Wholesale and transportation industries","Thousands of dollars",318090,352528,353356,339201,365706,391933,400739,357234,295677,315036,322618,323796,348289,330927,328517,365333
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",260,"...","  Retail industries","Thousands of dollars",716330,724454,697531,676626,648850,619937,571416,546489,581442,598119,664042,761245,838477,887289,941475,927332
 "18000","Indiana",3,"SAACArtsVA: ACPSA value added by ACPSA industry",300,"..."," All other industries 2/","Thousands of dollars",410296,426751,425151,437681,454216,467532,493268,494273,476997,450205,462558,519824,512070,516506,542793,553305
"Note: See the included footnote file."
"Last updated: March 19, 2019-- new statistics for 2016; revised statistics for 2014-2015. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
