GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",10,"...","Total ACPSA value added","Thousands of dollars",3358377,3629971,3746100,3897957,3861390,3913176,4096065,4236174,3970176,4014186,3949299,3920671,4046655,4059652,4191104,4234212
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",100,"..."," Core arts and cultural production","Thousands of dollars",431300,481288,511339,537497,546857,526235,554887,585346,561109,567449,578805,584395,554194,585793,592245,586235
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",111,"...","  Performing arts companies","Thousands of dollars",27576,28286,25064,32118,32414,27490,27665,30538,36510,47472,47911,44022,38726,47031,46854,49220
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Thousands of dollars",14921,17436,23772,21990,20695,28591,26423,27743,27120,23070,27047,33565,36904,33675,32366,29371
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",113,"...","  Agents/managers for artists","Thousands of dollars",2029,2111,2382,11549,3653,3234,2435,3010,3088,3054,3513,2504,1707,1792,1795,2229
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",114,"...","  Independent artists, writers, and performers","Thousands of dollars",14946,15320,15752,8040,15387,18142,19928,21302,23194,15904,13005,14355,10571,10972,11744,13085
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",120,"...","  Museums","Thousands of dollars",10319,10177,11351,11744,11917,12543,13297,12392,14089,11520,11551,12746,14070,15045,14982,15859
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",131,"...","  Advertising","Thousands of dollars",109390,129221,118999,137775,138175,141489,157657,159406,145618,139209,147849,167550,165929,165812,152458,149572
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",132,"...","  Architectural services","Thousands of dollars",92939,98264,100012,101110,109259,109764,122778,129221,121641,116837,110759,99859,102310,110574,118999,120661
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",133,"...","  Landscape architectural services","Thousands of dollars",11148,12301,15222,13289,16394,18178,18062,18740,23563,21654,9267,5446,5147,6003,7076,5850
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",134,"...","  Interior design services","Thousands of dollars",13868,16891,19181,28111,29644,33865,36991,37446,27498,39530,57269,52677,30598,37212,34787,32350
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",135,"...","  Industrial design services","Thousands of dollars",9064,9176,10345,10066,9045,7052,4895,6172,4095,6305,9523,9850,9691,13282,15189,10209
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",136,"...","  Graphic design services","Thousands of dollars",38598,43796,42540,42687,39821,37924,36520,34970,26584,31063,33458,30878,35475,40299,46579,48913
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",137,"...","  Computer systems design","Thousands of dollars",5769,5438,5320,6672,7372,8229,8994,10385,10228,10868,11840,12177,11977,12907,20578,22480
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",138,"...","  Photography and photofinishing services","Thousands of dollars",59771,66017,92107,84736,80389,50795,48140,54074,55151,54456,48687,56038,48260,45452,44195,41805
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",139,"...","  All other design services","Thousands of dollars",217,1292,1680,255,5192,556,754,1881,1573,1683,2422,2100,2180,2293,4732,4867
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",140,"...","  Fine arts education","Thousands of dollars",9117,11476,12578,12255,12444,13744,13781,19502,21064,25619,26798,22315,23109,24531,19889,19852
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",150,"...","  Education services","Thousands of dollars",11629,14085,15037,15101,15056,14640,16567,18562,20092,19206,17904,18314,17538,18912,20021,19913
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",200,"..."," Supporting arts and cultural production","Thousands of dollars",2756228,2972610,3059720,3179565,3127855,3193094,3335289,3437759,3198709,3245605,3158330,3102149,3265542,3234122,3344901,3393249
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",211,"...","  Rental and leasing","Thousands of dollars",45591,43354,41608,42946,42614,55860,63984,52993,48664,36430,31375,33326,34868,42016,56853,58564
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",212,"...","  Grantmaking and giving services","Thousands of dollars",1941,2364,2379,2054,2483,3173,4247,3100,3776,3850,3812,3782,4205,4548,5127,5928
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",213,"...","  Unions","Thousands of dollars",3206,4077,4245,4748,5164,7233,6774,7486,7248,7187,7634,8110,8636,8468,8706,9967
 "20000","Kansas",4,"SAACArtsVA: ACPSA value added by ACPSA industry",214,"...","  Government","Thousands of dollars",995592,1042980,998553,998888,935931,879026,840762,906172,915542,907249,909888,895242,924983,953564,955231,969493
